,Date,Capacity,Turnover,Open,High,Low,Close,Change,Transaction
0,2023-03-01,425563,11100459,26.1,26.25,26.0,26.05,-0.2,221
1,2023-03-02,268040,6986190,26.1,26.2,26.0,26.05,0.0,137
2,2023-03-03,301336,7877986,26.2,26.25,26.05,26.1,0.05,135
3,2023-03-06,663026,17419484,26.15,26.6,26.05,26.45,0.35,287
4,2023-03-07,771791,20558083,26.45,26.8,26.35,26.7,0.25,402
5,2023-03-08,648171,17370068,26.6,26.9,26.6,26.8,0.1,370
6,2023-03-09,3510078,97952219,27.7,28.4,27.55,27.8,1.0,1681
7,2023-03-10,2029602,56729726,27.75,28.2,27.4,28.05,0.25,1002
8,2023-03-13,1734689,48525242,28.05,28.4,27.5,27.8,-0.25,1013
9,2023-03-14,1441567,39278437,27.55,27.8,26.9,26.9,-0.9,720
10,2023-03-15,566607,15461648,27.2,27.4,27.0,27.3,0.4,287
11,2023-03-16,641918,17282921,27.2,27.35,26.55,26.55,-0.75,337
12,2023-03-17,1041863,28072420,26.95,27.1,26.7,27.0,0.45,338
13,2023-03-20,1662127,49209760,28.85,29.7,28.85,29.7,2.7,561
14,2023-03-21,11397740,355971805,30.5,32.55,29.95,29.95,0.25,6257
15,2023-03-22,2558330,76617538,30.5,30.5,29.35,29.85,-0.1,1375
16,2023-03-23,1358978,40306570,29.85,30.15,29.2,29.75,-0.1,843
17,2023-03-24,1892381,57327916,30.0,30.7,29.95,30.15,0.4,1177
18,2023-03-27,1562475,46112047,30.25,30.25,29.05,29.2,-0.95,811
19,2023-03-28,1091409,31320144,29.2,29.35,28.4,28.4,-0.8,560
20,2023-03-29,805196,23087379,28.5,28.95,28.45,28.65,0.25,417
21,2023-03-30,2152033,59645887,28.05,28.2,27.45,27.5,-1.15,1124
22,2023-03-31,765433,21032852,27.75,27.75,27.25,27.25,-0.25,402
23,2023-04-06,1076229,29472852,27.1,27.65,26.95,27.45,0.2,487
24,2023-04-07,602665,16529799,27.6,27.7,27.25,27.4,-0.05,336
25,2023-04-10,391244,10721290,27.3,27.55,27.3,27.4,0.0,265
26,2023-04-11,889746,24333068,27.4,27.65,27.1,27.2,-0.2,479
27,2023-04-12,1180377,32772961,27.35,28.05,27.2,27.9,0.7,654
28,2023-04-13,617178,17133037,27.75,27.9,27.65,27.65,-0.25,328
29,2023-04-14,465487,12913847,27.85,27.9,27.6,27.75,0.1,268
30,2023-04-17,530810,14780591,27.75,28.05,27.65,27.75,0.0,309
31,2023-04-18,557500,15451720,27.95,27.95,27.5,27.5,-0.25,375
32,2023-04-19,634665,17430379,27.5,27.9,27.1,27.2,-0.3,366
33,2023-04-20,634309,17108017,27.2,27.3,26.75,26.75,-0.45,370
34,2023-04-21,644818,17292441,26.9,27.05,26.55,26.55,-0.2,360
35,2023-04-24,269535,7207444,26.55,26.95,26.55,26.75,0.2,171
36,2023-04-25,753681,19854202,26.75,26.85,26.0,26.15,-0.6,387
37,2023-04-26,397836,10444135,26.05,26.45,26.05,26.45,0.3,189
38,2023-04-27,230786,6072882,26.45,26.5,26.1,26.45,0.0,155
39,2023-04-28,278094,7382362,26.7,26.7,26.4,26.5,0.05,202
40,2023-05-02,258886,6932472,26.5,26.95,26.5,26.9,0.4,151
41,2023-05-03,249406,6672275,26.8,27.05,26.6,26.7,-0.2,134
42,2023-05-04,263536,7030958,26.7,26.85,26.55,26.8,0.1,191
43,2023-05-05,218410,5879207,26.8,27.05,26.75,26.85,0.05,93
44,2023-05-08,270774,7245984,27.05,27.05,26.5,26.7,-0.15,189
45,2023-05-09,353541,9388150,26.75,26.85,26.35,26.35,-0.35,202
46,2023-05-10,158050,4162125,26.3,26.45,26.2,26.4,0.05,73
47,2023-05-11,356420,9373086,26.45,26.45,26.2,26.25,-0.15,160
48,2023-05-12,180034,4744050,26.4,26.7,26.2,26.45,0.2,83
49,2023-05-15,405690,10847004,26.35,26.9,26.35,26.65,0.2,227
