,Date,Capacity,Turnover,Open,High,Low,Close,Change,Transaction
0,2023-03-01,310303,10540851,34.55,34.8,33.6,33.85,-0.6,233
1,2023-03-02,218350,7333853,33.85,33.85,33.45,33.55,-0.3,163
2,2023-03-03,143830,4846084,33.9,33.9,33.6,33.7,0.15,139
3,2023-03-06,448500,15571877,35.45,35.45,34.0,34.45,0.75,303
4,2023-03-07,281711,9763567,34.5,35.1,34.25,34.55,0.1,234
5,2023-03-08,368764,12802193,34.25,35.05,34.25,34.55,0.0,259
6,2023-03-09,245635,8509672,34.95,35.05,34.3,34.5,-0.05,167
7,2023-03-10,526554,18204718,34.45,34.95,34.05,34.75,0.25,325
8,2023-03-13,389488,13454181,34.75,35.2,33.8,34.75,0.0,310
9,2023-03-14,316767,11036193,34.45,35.15,34.35,35.0,0.25,241
10,2023-03-15,357398,12372218,35.45,35.45,34.3,34.35,-0.65,260
11,2023-03-16,581997,19306586,34.05,34.1,32.7,32.85,-1.5,452
12,2023-03-17,289696,9559567,33.0,33.4,32.85,33.0,0.15,194
13,2023-03-20,68579,2267908,33.0,33.2,32.95,33.2,0.2,69
14,2023-03-21,766728,26491385,33.9,35.2,33.7,34.1,0.9,562
15,2023-03-22,736903,25950966,35.0,35.95,34.55,34.8,0.7,516
16,2023-03-23,245956,8582739,35.05,35.15,34.35,34.75,-0.05,164
17,2023-03-24,508684,17974314,35.15,35.8,34.85,35.2,0.45,363
18,2023-03-27,213885,7492715,35.2,35.65,34.7,34.8,-0.4,197
19,2023-03-28,364112,12299427,35.1,35.1,33.55,33.7,-1.1,369
20,2023-03-29,134139,4528731,33.95,34.0,33.6,33.7,0.0,323
21,2023-03-30,82658,2785951,33.7,33.9,33.6,33.7,0.0,215
22,2023-03-31,98218,3325628,33.75,34.05,33.7,33.95,0.25,112
23,2023-04-06,103396,3511440,34.1,34.1,33.65,34.0,0.05,252
24,2023-04-07,163700,5627055,34.05,34.75,34.05,34.15,0.15,140
25,2023-04-10,102942,3535909,34.25,34.6,34.15,34.4,0.25,126
26,2023-04-11,173495,6007085,34.4,34.75,34.4,34.6,0.2,152
27,2023-04-12,534689,18796872,34.9,35.5,34.65,35.35,0.75,399
28,2023-04-13,342773,12036479,35.65,35.65,34.7,34.95,-0.4,297
29,2023-04-14,357617,12625755,35.35,35.5,35.15,35.3,0.35,254
30,2023-04-17,294440,10236959,35.3,35.3,34.5,34.65,-0.65,310
31,2023-04-18,180228,6230270,34.8,34.95,34.35,34.35,-0.3,275
32,2023-04-19,154480,5295582,34.7,34.7,34.15,34.15,-0.2,295
33,2023-04-20,184375,6278391,33.9,34.4,33.8,33.95,-0.2,173
34,2023-04-21,350960,11719544,34.35,34.35,32.85,33.2,-0.75,246
35,2023-04-24,104348,3456540,33.2,33.45,32.7,33.15,-0.05,73
36,2023-04-25,450043,14543798,33.05,33.15,31.75,32.45,-0.7,240
37,2023-04-26,94441,3008312,32.3,32.3,31.65,31.9,-0.55,78
38,2023-04-27,72003,2306044,31.9,32.2,31.9,32.0,0.1,50
39,2023-04-28,80077,2582359,32.0,32.4,32.0,32.2,0.2,68
40,2023-05-02,117113,3777258,32.2,32.55,32.05,32.15,-0.05,103
41,2023-05-03,43283,1389664,32.15,32.3,32.0,32.1,-0.05,45
42,2023-05-04,101002,3230763,32.25,32.25,31.85,31.95,-0.15,55
43,2023-05-05,82202,2632542,32.05,32.2,31.95,32.1,0.15,49
44,2023-05-08,91110,2921775,32.1,32.15,31.85,32.0,-0.1,68
45,2023-05-09,169134,5333402,32.0,32.0,31.4,31.4,-0.6,117
46,2023-05-10,55000,1734150,31.3,31.9,31.05,31.6,0.2,44
47,2023-05-11,183498,5689603,31.5,31.5,30.8,30.8,-0.8,142
48,2023-05-12,75003,2308190,30.15,31.2,30.15,30.75,-0.05,56
49,2023-05-15,163536,4958456,30.4,30.55,30.2,30.3,-0.45,126
50,2023-05-16,139531,4341867,30.9,31.65,30.8,31.1,0.8,101
51,2023-05-17,123311,3872445,31.1,31.65,31.05,31.2,0.1,97
52,2023-05-18,74338,2346006,31.2,32.1,31.2,31.35,0.15,84
53,2023-05-19,88314,2781400,31.35,31.95,31.3,31.5,0.15,98
54,2023-05-22,94298,2974633,31.5,31.6,31.5,31.55,0.05,67
55,2023-05-23,134359,4277884,31.6,31.95,31.55,31.9,0.35,96
56,2023-05-24,155329,5004222,31.8,32.8,31.7,32.15,0.25,116
57,2023-05-25,92716,2962900,32.15,32.25,31.8,31.85,-0.3,86
58,2023-05-26,178426,5608603,31.8,31.8,31.05,31.05,-0.8,213
59,2023-05-29,238288,7423134,31.05,31.5,30.95,31.0,-0.05,165
60,2023-05-30,94408,2927397,31.15,31.2,30.9,31.0,0.0,69
61,2023-05-31,110203,3447243,31.05,31.55,31.0,31.5,0.5,85
62,2023-06-01,167835,5345703,31.4,32.2,31.05,31.95,0.45,136
63,2023-06-02,153356,4898717,31.95,32.15,31.75,31.95,0.0,106
64,2023-06-05,1004606,33726237,33.2,34.35,33.05,33.1,1.15,670
65,2023-06-06,250460,8250078,33.5,33.5,32.7,32.8,-0.3,216
66,2023-06-07,352511,11342517,32.05,32.5,31.85,32.1,-0.7,232
67,2023-06-08,146215,4663605,32.15,32.2,31.6,31.6,-0.5,112
68,2023-06-09,130081,4126659,31.9,31.95,31.6,31.6,0.0,98
69,2023-06-12,187559,5862262,31.65,31.65,30.9,31.2,-0.4,120
70,2023-06-13,164159,5145662,31.3,31.8,31.2,31.25,0.05,117
71,2023-06-14,167426,5247634,31.25,31.5,31.25,31.3,0.05,139
72,2023-06-15,107077,3342402,31.2,31.3,31.05,31.3,0.0,92
73,2023-06-16,118303,3700119,31.35,31.45,31.1,31.3,0.0,76
74,2023-06-19,152949,4788315,31.3,31.4,31.2,31.25,-0.05,86
75,2023-06-20,123362,3896910,31.4,31.75,31.3,31.7,0.45,86
76,2023-06-21,167223,5270316,31.8,31.8,31.3,31.5,-0.2,108
77,2023-06-26,129400,4034530,31.45,31.45,31.1,31.1,-0.4,88
78,2023-06-27,157348,4868534,30.9,31.45,30.8,30.85,-0.25,104
79,2023-06-28,134189,4132433,31.05,31.05,30.6,30.8,-0.05,86
80,2023-06-29,132004,4060357,30.7,31.0,30.65,30.65,-0.15,101
81,2023-06-30,98430,3002938,30.65,30.7,30.35,30.55,-0.1,88
82,2023-07-03,268526,8187270,30.6,30.95,30.3,30.95,0.4,180
83,2023-07-04,180971,5522175,31.0,31.0,30.4,30.4,-0.55,148
84,2023-07-05,218500,6610935,30.25,30.4,30.2,30.2,-0.2,157
85,2023-07-06,249377,7496345,30.2,30.4,29.95,30.0,-0.2,175
86,2023-07-07,328767,9742246,30.1,30.2,29.25,29.75,-0.25,187
87,2023-07-10,220050,6560080,29.55,30.2,29.55,29.65,-0.1,139
88,2023-07-11,228495,6735322,29.7,29.8,29.3,29.6,-0.05,169
89,2023-07-12,219100,6442840,29.6,29.9,29.15,29.35,-0.25,131
90,2023-07-13,224566,6719327,29.4,30.5,29.4,29.55,0.2,169
91,2023-07-14,68882,2049406,29.45,30.0,29.45,29.8,0.25,56
92,2023-07-17,443840,13672332,30.05,31.5,29.95,30.7,0.9,241
93,2023-07-18,556419,17364960,30.9,31.6,30.7,30.8,0.1,269
94,2023-07-19,684119,21536858,30.9,32.35,30.9,31.1,0.3,365
95,2023-07-20,367027,11619446,31.9,31.95,31.4,31.55,0.45,206
96,2023-07-21,452637,14409315,31.15,32.3,31.15,31.45,-0.1,328
97,2023-07-24,265754,8317306,31.6,31.75,31.0,31.5,0.05,189
98,2023-07-25,174320,5504199,32.0,32.0,31.45,31.55,0.05,160
99,2023-07-26,165856,5241269,31.6,31.8,31.45,31.65,0.1,124
100,2023-07-27,1543376,51291591,31.65,33.8,31.65,33.65,2.0,1046
101,2023-07-28,598747,19972232,34.05,34.05,32.95,33.45,-0.2,447
102,2023-07-31,572019,19114051,33.1,33.75,33.0,33.3,-0.15,325
103,2023-08-01,575407,19320791,33.5,34.5,33.0,33.5,0.2,363
104,2023-08-02,375592,12313230,33.85,33.85,32.45,32.55,-0.95,301
105,2023-08-04,165002,5298514,32.6,32.8,31.75,32.15,-0.4,124
106,2023-08-07,136353,4413847,32.4,32.8,32.1,32.45,0.3,96
107,2023-08-08,162301,5210825,32.5,32.5,31.8,32.15,-0.3,115
108,2023-08-09,83050,2660650,32.35,32.35,31.85,31.95,-0.2,55
109,2023-08-10,134621,4225744,31.95,32.0,31.15,31.25,-0.7,143
110,2023-08-11,212420,6587605,31.7,31.75,30.75,30.85,-0.4,161
111,2023-08-14,212764,6435065,31.6,31.6,29.9,29.9,-0.95,203
112,2023-08-15,103252,3098318,29.9,30.55,29.85,29.95,0.05,93
113,2023-08-16,97298,2923619,29.95,30.35,29.7,30.05,0.1,81
114,2023-08-17,119146,3642363,30.1,31.0,29.95,30.75,0.7,101
115,2023-08-18,175279,5438161,31.0,31.4,30.65,30.65,-0.1,120
116,2023-08-21,97080,2974799,30.65,30.95,30.45,30.65,0.0,66
117,2023-08-22,133724,4088317,31.0,31.15,30.35,30.45,-0.2,111
118,2023-08-23,86292,2638891,30.45,30.95,30.4,30.5,0.05,71
119,2023-08-24,54619,1668412,30.7,30.9,30.35,30.5,0.0,89
120,2023-08-25,73079,2212689,30.5,30.7,30.05,30.2,-0.3,50
121,2023-08-28,116326,3501521,30.15,30.8,29.95,30.05,-0.15,107
122,2023-08-29,55026,1659684,30.55,30.55,30.05,30.2,0.15,44
123,2023-08-30,303180,9373877,30.45,31.65,30.2,31.6,1.4,208
124,2023-08-31,1322401,43469737,32.6,33.95,32.15,32.45,0.85,999
125,2023-09-01,617901,20109597,32.45,33.15,32.2,32.75,0.3,390
126,2023-09-04,262247,8601177,33.0,33.5,32.5,32.5,-0.25,165
127,2023-09-05,213800,6917523,32.5,32.65,32.2,32.25,-0.25,116
128,2023-09-06,171229,5508240,32.45,32.6,32.0,32.1,-0.15,113
129,2023-09-07,186768,5972228,31.9,32.35,31.85,31.9,-0.2,218
130,2023-09-08,138343,4388570,31.9,32.05,31.05,31.45,-0.45,124
131,2023-09-11,122729,3866831,31.75,31.95,31.3,31.3,-0.15,91
132,2023-09-12,120931,3778350,31.25,31.5,31.05,31.35,0.05,73
133,2023-09-13,124022,3931242,31.65,31.95,31.4,31.85,0.5,91
134,2023-09-14,276600,8883683,32.1,32.4,31.95,32.0,0.15,178
135,2023-09-15,125584,4017580,32.4,32.4,31.8,32.0,0.0,80
136,2023-09-18,110364,3546948,32.05,32.3,31.9,32.05,0.05,100
137,2023-09-19,133609,4280703,32.15,32.3,31.8,31.8,-0.25,154
138,2023-09-20,81255,2582101,31.8,32.2,31.6,31.6,-0.2,70
139,2023-09-21,222286,6910311,31.7,31.7,30.85,30.9,-0.7,154
140,2023-09-22,139001,4287680,30.9,31.05,30.55,30.7,-0.2,97
141,2023-09-25,93616,2902271,31.05,31.2,30.8,30.9,0.2,123
142,2023-09-26,117374,3617265,30.9,31.1,30.65,30.8,-0.1,87
143,2023-09-27,49756,1523147,30.4,30.9,30.4,30.6,-0.2,51
144,2023-09-28,66089,2033658,31.1,31.1,30.6,30.7,0.1,64
145,2023-10-02,139053,4290629,31.0,31.1,30.6,30.6,-0.1,106
146,2023-10-03,308140,9311715,30.75,30.75,29.95,30.3,-0.3,178
147,2023-10-04,351223,10507901,30.45,30.5,29.7,29.9,-0.4,234
148,2023-10-05,191114,5731637,30.0,30.25,29.9,29.95,0.05,69
149,2023-10-06,121000,3631900,29.9,30.3,29.9,30.0,0.05,77
150,2023-10-11,701097,20398753,30.3,30.3,28.45,28.45,-1.55,462
151,2023-10-12,287050,8206197,28.5,29.0,28.45,28.65,0.2,202
152,2023-10-13,302829,8866653,28.7,29.55,28.7,29.5,0.85,188
153,2023-10-16,154134,4479069,29.7,29.7,28.95,29.0,-0.5,105
154,2023-10-17,187159,5386111,29.0,29.2,28.25,28.5,-0.5,139
155,2023-10-18,361243,10103958,28.5,28.5,27.75,27.75,-0.75,208
156,2023-10-19,358548,9801854,27.65,27.75,27.0,27.25,-0.5,234
157,2023-10-20,285031,7714226,27.05,27.45,26.65,27.3,0.05,149
158,2023-10-23,64242,1772113,27.1,27.75,27.1,27.55,0.25,52
159,2023-10-24,67317,1850549,27.6,27.75,27.3,27.6,0.05,75
160,2023-10-25,189615,5415548,27.75,28.9,27.75,28.55,0.95,149
161,2023-10-26,109290,3105935,28.1,28.75,28.1,28.55,0.0,91
162,2023-10-27,114618,3223067,28.6,28.6,28.0,28.05,-0.5,134
163,2023-10-30,92002,2554421,27.55,28.0,27.45,27.65,-0.4,68
164,2023-10-31,151508,4145251,27.75,28.0,27.05,27.1,-0.55,120
165,2023-11-01,41524,1130486,27.0,27.4,27.0,27.25,0.15,70
166,2023-11-02,62081,1706218,27.35,27.75,27.35,27.5,0.25,38
167,2023-11-03,43225,1195297,27.8,27.8,27.6,27.6,0.1,44
168,2023-11-06,96081,2686366,27.9,28.15,27.5,27.9,0.3,66
169,2023-11-07,50687,1419008,28.0,28.1,27.85,27.95,0.05,46
170,2023-11-08,165407,4679763,28.1,28.9,27.95,28.55,0.6,128
171,2023-11-09,60793,1728526,28.55,28.6,28.2,28.3,-0.25,51
172,2023-11-10,78192,2191517,28.25,28.35,27.8,27.9,-0.4,66
173,2023-11-13,96316,2689466,27.9,28.2,27.55,27.8,-0.1,73
174,2023-11-14,47000,1314050,28.0,28.15,27.85,28.0,0.2,36
175,2023-11-15,113804,3185571,27.95,28.15,27.9,27.9,-0.1,73
176,2023-11-16,63022,1757511,27.9,28.05,27.8,27.85,-0.05,44
177,2023-11-17,101680,2845638,27.85,28.35,27.85,27.85,0.0,96
178,2023-11-20,181202,5103641,27.85,28.4,27.85,28.25,0.4,111
179,2023-11-21,167406,4746183,28.25,28.55,28.2,28.3,0.05,135
