,Date,Capacity,Turnover,Open,High,Low,Close,Change,Transaction
0,2023-03-01,112965,8790650,77.7,78.2,77.1,77.8,0.1,422
1,2023-03-02,59686,4631864,77.9,78.5,77.1,77.3,-0.5,279
2,2023-03-03,57606,4447806,77.3,77.5,76.9,77.4,0.1,209
3,2023-03-06,119949,9393850,77.7,79.0,77.6,78.2,0.8,154
4,2023-03-07,1187250,97572247,78.5,84.2,78.5,80.4,2.2,2235
5,2023-03-08,1771595,148325503,79.6,87.0,79.6,85.5,5.1,1520
6,2023-03-09,951971,80050612,86.6,86.6,82.5,83.0,-2.5,2210
7,2023-03-10,375410,30375153,81.8,82.8,79.5,80.1,-2.9,1233
8,2023-03-13,231092,18018539,80.5,80.5,76.6,78.9,-1.2,595
9,2023-03-14,118386,9287472,79.5,79.5,78.0,78.0,-0.9,132
10,2023-03-15,198211,15330780,76.3,78.7,76.3,76.6,-1.4,593
11,2023-03-16,77226,5930385,76.6,77.5,76.5,76.5,-0.1,156
12,2023-03-17,85914,6585214,75.5,77.4,75.5,77.2,0.7,171
13,2023-03-20,119963,9203865,78.1,78.9,74.1,76.9,-0.3,237
14,2023-03-21,70377,5400386,77.5,77.5,76.5,77.0,0.1,78
15,2023-03-22,116417,9017792,77.1,78.3,77.0,77.3,0.3,198
16,2023-03-23,165455,12967298,77.3,79.8,77.0,78.6,1.3,197
17,2023-03-24,67069,5252538,78.6,78.6,78.0,78.5,-0.1,124
18,2023-03-27,87951,6828125,77.9,78.0,77.2,77.7,-0.8,143
19,2023-03-28,89025,6831015,77.1,77.7,75.4,76.8,-0.9,460
20,2023-03-29,48840,3759227,76.8,77.8,76.3,76.5,-0.3,64
21,2023-03-30,138291,10775996,76.5,78.6,76.5,77.8,1.3,104
22,2023-03-31,54625,4241904,77.7,78.0,77.3,77.8,0.0,67
23,2023-04-06,108286,8520691,78.6,79.5,77.7,78.9,1.1,114
24,2023-04-07,71869,5684028,79.8,79.8,78.7,78.8,-0.1,370
25,2023-04-10,207595,16606313,78.8,80.6,78.4,80.2,1.4,237
26,2023-04-11,62978,5037451,80.3,80.3,79.7,80.0,-0.2,184
27,2023-04-12,59798,4759375,79.7,79.8,79.5,79.5,-0.5,73
