,Date,Capacity,Turnover,Open,High,Low,Close,Change,Transaction
0,2023-03-01,1367526,54869836,40.2,40.6,39.9,39.9,-0.7,890
1,2023-03-02,4164994,171065637,39.95,41.8,39.95,41.3,1.4,2310
2,2023-03-03,1641842,67674881,41.7,41.75,40.95,41.1,-0.2,1096
3,2023-03-06,1144138,46855665,41.25,41.35,40.6,40.9,-0.2,798
4,2023-03-07,1078378,44247792,41.05,41.45,40.8,40.85,-0.05,695
5,2023-03-08,1068162,43658513,40.95,41.1,40.65,40.8,-0.05,673
6,2023-03-09,23855496,1039532280,41.0,44.85,41.0,44.85,4.05,9572
7,2023-03-10,33553001,1414281197,44.85,45.4,40.4,40.45,-4.4,14663
8,2023-03-13,4569962,179915126,40.15,40.15,38.7,39.45,-1.0,3203
9,2023-03-14,2067304,81976320,39.25,40.1,39.1,39.5,0.05,1394
10,2023-03-15,1971251,77513604,39.25,39.7,39.05,39.1,-0.4,1240
11,2023-03-16,2385666,91444487,38.9,38.9,38.0,38.45,-0.65,1524
12,2023-03-17,837119,32349256,39.0,39.0,38.35,38.65,0.2,636
13,2023-03-20,766718,29597746,38.8,38.9,38.35,38.9,0.25,600
14,2023-03-21,919068,35882081,39.0,39.3,38.75,39.2,0.3,585
15,2023-03-22,1185948,46384786,39.35,39.55,38.9,38.9,-0.3,804
16,2023-03-23,716456,28018955,39.0,39.3,38.95,39.0,0.1,492
17,2023-03-24,1170303,46133161,39.05,39.75,38.95,39.5,0.5,833
18,2023-03-27,925974,36654698,39.6,39.8,39.5,39.6,0.1,721
19,2023-03-28,1283058,50739339,39.8,40.0,39.1,39.65,0.05,769
20,2023-03-29,713291,28265831,39.65,39.9,39.5,39.6,-0.05,483
21,2023-03-30,589522,23297702,39.8,39.8,39.25,39.45,-0.15,455
22,2023-03-31,680083,26785069,39.45,39.55,39.25,39.45,0.0,408
23,2023-04-06,1030842,40859405,39.5,39.95,39.45,39.5,0.05,704
24,2023-04-07,1360337,54436531,39.9,40.3,39.6,40.05,0.55,905
25,2023-04-10,1157996,46379716,40.3,40.45,39.7,39.75,-0.3,923
26,2023-04-11,776525,30748371,39.6,39.85,39.5,39.55,-0.2,531
27,2023-04-12,990530,39374694,39.55,40.0,39.55,39.9,0.35,682
28,2023-04-13,1923853,77706417,40.15,40.95,40.15,40.15,0.25,1215
29,2023-04-14,1811340,73373936,40.5,40.75,40.15,40.45,0.3,1228
