,Date,Capacity,Turnover,Open,High,Low,Close,Change,Transaction
0,2023-03-01,184182,12593246,68.5,68.8,68.1,68.2,-0.9,135
1,2023-03-02,163200,11109852,68.3,68.5,67.5,68.2,0.0,140
2,2023-03-03,91147,6211005,68.8,69.4,67.6,68.3,0.1,99
3,2023-03-06,82615,5702138,68.8,69.5,68.5,69.2,0.9,225
4,2023-03-07,318654,22551686,70.6,72.0,70.0,70.1,0.9,259
5,2023-03-08,157000,10862300,69.3,69.6,68.8,69.1,-1.0,125
6,2023-03-09,165551,11501628,69.1,70.9,68.5,69.3,0.2,158
7,2023-03-10,137215,9426543,69.3,69.8,67.9,68.2,-1.1,116
8,2023-03-13,81281,5498731,68.0,69.2,67.0,68.1,-0.1,75
9,2023-03-14,49159,3306525,67.5,67.5,67.0,67.0,-1.1,48
10,2023-03-15,612333,37155955,62.5,62.5,60.3,60.3,-6.7,457
11,2023-03-16,502665,28743283,59.5,60.0,54.9,55.2,-5.1,376
12,2023-03-17,131010,7298185,55.5,56.7,55.0,55.6,0.4,99
13,2023-03-20,98088,5655336,57.3,58.4,56.9,57.6,2.0,81
14,2023-03-21,52059,3030365,58.9,59.0,57.6,58.0,0.4,52
15,2023-03-22,67100,3947515,59.0,59.7,57.9,59.0,1.0,64
16,2023-03-23,88689,5296187,58.8,60.5,58.8,59.4,0.4,99
17,2023-03-24,53298,3135649,59.6,59.6,58.0,58.6,-0.8,101
18,2023-03-27,48019,2758608,58.2,58.2,57.2,57.5,-1.1,45
19,2023-03-28,37019,2120686,57.4,58.2,57.0,57.0,-0.5,30
20,2023-03-29,75020,4251234,57.6,57.6,55.8,56.1,-0.9,53
21,2023-03-30,49001,2759156,56.8,57.4,55.8,56.1,0.0,46
22,2023-03-31,90021,5068276,56.1,56.9,55.8,56.7,0.6,63
23,2023-04-06,59026,3355930,56.7,57.8,56.6,57.0,0.3,40
24,2023-04-07,84002,4741314,56.7,56.8,55.8,56.1,-0.9,65
25,2023-04-10,136573,7946570,58.5,58.9,57.2,58.0,1.9,127
26,2023-04-11,84592,4848969,57.6,58.9,56.8,57.2,-0.8,84
27,2023-04-12,147002,8259515,57.2,57.2,55.7,56.0,-1.2,117
28,2023-04-13,52069,2905557,55.8,56.3,55.4,55.8,-0.2,49
29,2023-04-14,49108,2736268,56.1,56.1,55.5,55.6,-0.2,45
30,2023-04-17,65205,3595294,55.2,55.4,55.0,55.2,-0.4,62
31,2023-04-18,24000,1334300,55.5,55.8,55.5,55.7,0.5,23
32,2023-04-19,48973,2726563,55.6,56.8,55.2,55.4,-0.3,46
33,2023-04-20,32003,1773264,55.1,55.7,55.0,55.5,0.1,29
34,2023-04-21,81330,4421974,55.5,55.5,53.6,53.6,-1.9,123
35,2023-04-24,18277,980187,53.6,54.0,53.3,53.4,-0.2,23
36,2023-04-25,114478,5869804,53.1,53.1,50.0,50.0,-3.4,178
37,2023-04-26,160228,8039943,49.0,51.3,49.0,51.3,1.3,90
38,2023-04-27,8120,416621,51.0,51.6,51.0,51.6,0.3,16
39,2023-04-28,32124,1652796,51.2,52.0,51.1,51.4,-0.2,53
40,2023-05-02,32256,1696480,51.8,53.5,51.8,52.4,1.0,32
41,2023-05-03,18543,970978,52.3,53.1,51.8,52.8,0.4,23
42,2023-05-04,23011,1225181,52.6,53.9,52.0,53.2,0.4,25
43,2023-05-05,13000,689500,53.2,53.3,52.8,53.3,0.1,10
