,Date,Capacity,Turnover,Open,High,Low,Close,Change,Transaction
0,2023-03-01,2699711,163204930,59.7,61.6,58.9,61.2,1.2,1584
1,2023-03-02,5699483,354293776,62.0,63.5,60.3,62.5,1.3,3300
2,2023-03-03,13784630,900880753,63.2,66.9,62.8,66.7,4.2,6829
3,2023-03-06,11929458,788134471,67.2,68.5,63.5,68.2,1.5,6528
4,2023-03-07,8515543,586174560,68.5,70.0,67.6,70.0,1.8,5200
5,2023-03-08,11211140,816016507,69.6,74.8,69.3,73.3,3.3,7125
6,2023-03-09,6597387,472839871,73.0,74.3,70.1,70.3,-3.0,4666
7,2023-03-10,7825896,521344931,68.9,70.1,64.6,66.4,-3.9,4611
8,2023-03-13,7239091,481241950,66.9,68.4,63.5,67.1,0.7,4261
9,2023-03-14,5113973,345427352,66.5,68.9,66.0,66.6,-0.5,3889
10,2023-03-15,5729443,396853614,67.5,70.5,67.3,70.0,3.4,4066
11,2023-03-16,22520472,1595329327,69.8,73.2,67.4,68.3,-1.7,14567
12,2023-03-17,10204301,702151446,71.0,71.6,66.9,69.0,0.7,6820
13,2023-03-20,3089620,211339173,68.2,69.3,67.8,69.0,0.0,2327
14,2023-03-21,3939016,274839868,69.0,70.7,68.6,70.0,1.0,2628
15,2023-03-22,4784467,339752853,70.3,72.0,70.0,70.7,0.7,3275
16,2023-03-23,4787034,330520008,70.8,71.0,67.5,69.2,-1.5,3712
17,2023-03-24,5493520,370170408,69.2,69.2,66.2,66.2,-3.0,3740
18,2023-03-27,3396308,222208402,66.2,67.0,64.4,65.1,-1.1,2167
19,2023-03-28,4145835,263813560,65.0,65.1,62.6,63.5,-1.6,2646
20,2023-03-29,1598151,102205054,63.4,64.5,63.1,64.3,0.8,1163
21,2023-03-30,4651642,309949528,64.7,68.0,64.2,66.9,2.6,3065
22,2023-03-31,5689519,390344530,67.2,69.7,66.4,69.0,2.1,3612
23,2023-04-06,7199839,508067941,69.5,71.5,69.2,70.6,1.6,4454
24,2023-04-07,3069916,217237157,71.4,71.9,69.8,70.1,-0.5,2874
25,2023-04-10,2394434,169234709,70.4,71.3,69.9,71.1,1.0,1819
26,2023-04-11,2389510,170536031,71.8,71.9,70.8,71.4,0.3,1801
27,2023-04-12,5069199,369401963,71.5,74.1,71.4,73.4,2.0,3657
28,2023-04-13,14736593,1004985278,72.5,72.5,66.1,68.8,-4.6,8990
29,2023-04-14,3162727,217419878,69.8,69.9,67.2,68.5,-0.3,2177
30,2023-04-17,3738056,262724275,69.0,71.2,68.7,70.6,2.1,2325
31,2023-04-18,3924317,275533634,70.6,71.9,68.6,69.2,-1.4,2534
32,2023-04-19,9575728,693966489,69.2,74.5,69.1,73.8,4.6,6265
33,2023-04-20,12835584,924691031,73.8,75.7,68.0,70.7,-3.1,8532
34,2023-04-21,6242558,430242029,70.7,72.3,66.9,67.1,-3.6,4279
35,2023-04-24,2047071,137118630,66.1,67.7,65.8,67.1,0.0,1457
36,2023-04-25,3284828,219481742,67.0,69.4,65.3,66.3,-0.8,2238
37,2023-04-26,1505974,100033545,66.0,67.2,65.2,67.2,0.9,1183
38,2023-04-27,1134980,76599246,67.5,68.3,66.3,67.4,0.2,846
39,2023-04-28,1295564,88690507,69.0,69.0,67.5,68.4,1.0,959
40,2023-05-02,2243940,156937833,69.0,70.6,68.7,69.6,1.2,1613
41,2023-05-03,2748706,193828212,70.2,72.0,69.6,70.4,0.8,1885
42,2023-05-04,9652954,700145170,70.5,74.8,70.4,71.8,1.4,6222
43,2023-05-05,11334099,834896815,74.0,75.6,71.7,72.6,0.8,7411
44,2023-05-08,4243460,308552641,72.8,74.3,71.4,71.9,-0.7,2937
45,2023-05-09,4572716,318418295,72.3,72.8,68.1,68.8,-3.1,2859
46,2023-05-10,1655982,114689109,68.4,69.9,68.0,69.9,1.1,1221
47,2023-05-11,2929054,198623769,69.0,69.4,66.9,67.2,-2.7,1973
48,2023-05-12,1355248,91151524,66.5,68.3,66.1,68.1,0.9,1029
49,2023-05-15,1392077,92755666,68.1,68.1,65.5,66.3,-1.8,979
50,2023-05-16,906547,60685468,66.9,67.5,66.5,66.9,0.6,595
51,2023-05-17,1030057,70201019,67.4,68.5,67.4,68.1,1.2,781
52,2023-05-18,1245665,85587143,68.5,69.3,67.8,68.6,0.5,914
53,2023-05-19,1372330,93315160,69.2,69.5,67.1,67.1,-1.5,1039
54,2023-05-22,569332,38747224,67.2,68.4,67.2,68.1,1.0,463
55,2023-05-23,632722,43238580,68.5,68.7,67.5,68.2,0.1,577
56,2023-05-24,1105680,74867253,68.5,69.0,67.1,67.7,-0.5,837
57,2023-05-25,1121722,75024495,67.7,67.7,66.4,66.5,-1.2,931
58,2023-05-26,3636663,233480966,67.1,67.1,63.0,64.1,-2.4,2460
59,2023-05-29,1271129,81246299,64.0,64.3,63.3,64.1,0.0,950
60,2023-05-30,1850715,116038393,64.2,64.2,62.2,62.6,-1.5,1375
61,2023-05-31,939829,59771437,62.9,64.4,62.6,63.6,1.0,811
62,2023-06-01,1004920,63181440,63.6,64.2,62.5,62.7,-0.9,818
63,2023-06-02,1231672,77154832,62.8,63.4,62.2,62.4,-0.3,1017
64,2023-06-05,1000804,63473481,63.3,63.9,63.0,63.5,1.1,779
65,2023-06-06,1156231,73767342,64.0,64.3,63.3,64.0,0.5,877
66,2023-06-07,1838879,116460289,64.3,64.3,62.8,63.1,-0.9,1366
67,2023-06-08,3040637,187102681,63.1,63.1,60.8,61.7,-1.4,2026
68,2023-06-09,2132431,130794790,61.9,62.3,60.7,62.0,0.3,1464
69,2023-06-12,874662,53770562,62.1,62.1,61.0,61.4,-0.6,667
70,2023-06-13,1089242,66046247,61.3,61.4,60.1,60.5,-0.9,833
71,2023-06-14,960526,58334493,60.5,61.4,60.1,61.0,0.5,597
72,2023-06-15,841909,51322965,61.0,61.5,60.3,61.1,0.1,547
73,2023-06-16,681783,42057699,62.5,62.5,61.3,61.3,0.2,488
74,2023-06-19,457664,28202375,61.2,62.1,60.7,61.4,0.1,345
75,2023-06-20,449703,27602503,61.3,61.7,61.0,61.3,-0.1,337
76,2023-06-21,575650,35043504,61.5,61.5,60.5,60.7,-0.6,419
77,2023-06-26,1242144,76121704,60.6,62.2,59.8,61.8,1.1,826
78,2023-06-27,3149837,199753605,62.0,64.3,62.0,63.2,1.4,2353
79,2023-06-28,5385730,351956563,64.2,66.8,63.9,65.3,2.1,3418
80,2023-06-29,10484242,720672708,65.4,70.6,65.3,70.0,4.7,6054
81,2023-06-30,8473147,598652407,70.0,72.3,69.3,70.7,0.7,5452
82,2023-07-03,3752582,260122732,70.8,71.4,68.0,69.3,-1.4,2546
83,2023-07-04,1801289,124987046,69.5,70.3,68.7,69.1,-0.2,1226
84,2023-07-05,3066647,214662686,69.4,71.8,69.0,69.6,0.5,1989
85,2023-07-06,3052678,215015704,70.1,71.3,69.4,69.9,0.3,1911
86,2023-07-07,1777023,123302249,70.0,70.3,68.2,68.2,-1.7,1082
87,2023-07-10,1386825,94605808,68.5,69.0,67.2,68.6,0.4,762
88,2023-07-11,4160904,285250095,70.5,70.8,67.1,67.7,-0.9,2450
89,2023-07-12,2210787,144627101,65.9,66.9,63.9,64.8,0.0,1818
90,2023-07-13,2409592,153181561,65.2,65.2,63.0,63.1,-1.7,1852
91,2023-07-14,1781310,114152412,63.1,65.1,62.5,64.2,1.1,1246
92,2023-07-17,1504683,97654752,64.5,65.8,63.8,64.9,0.7,1121
93,2023-07-18,1754395,111723474,65.4,65.6,62.8,62.8,-2.1,1209
94,2023-07-19,1694523,106854029,64.2,64.6,62.0,62.2,-0.6,1309
95,2023-07-20,1155667,72545162,62.8,63.5,62.1,63.3,1.1,968
96,2023-07-21,2007017,124786162,63.7,63.9,61.7,62.0,-1.3,1741
97,2023-07-24,1064853,65686372,62.0,62.7,60.5,62.0,0.0,715
98,2023-07-25,906778,56423375,61.5,63.0,61.4,62.2,0.2,530
99,2023-07-26,1286276,80703678,63.1,64.0,62.1,62.2,0.0,870
100,2023-07-27,1565489,98434834,62.3,64.5,61.8,62.6,0.4,1012
101,2023-07-28,1672107,103214746,63.0,63.0,61.0,61.3,-1.3,1148
102,2023-07-31,1159014,72086194,62.1,63.0,61.3,61.8,0.5,849
103,2023-08-01,827073,51272995,62.9,62.9,61.7,61.8,0.0,732
104,2023-08-02,2161304,130209032,61.9,62.3,59.0,59.2,-2.6,1680
105,2023-08-04,947354,55423622,59.6,59.6,57.8,58.9,-0.3,800
106,2023-08-07,608115,35732405,59.8,59.8,58.0,58.8,-0.1,524
107,2023-08-08,1613318,92469423,59.3,59.3,56.3,57.0,-1.8,1264
108,2023-08-09,803345,45610961,57.6,57.6,56.2,56.9,-0.1,637
109,2023-08-10,981567,54897234,57.0,57.0,55.1,55.5,-1.4,705
110,2023-08-11,825732,45538086,55.2,56.0,54.4,55.0,-0.5,640
111,2023-08-14,1066334,57402929,56.0,56.0,52.7,54.1,-0.9,713
112,2023-08-15,504094,27337835,54.9,54.9,53.8,54.0,-0.1,375
113,2023-08-16,810102,43315094,53.8,54.0,53.0,53.6,-0.4,554
114,2023-08-17,604908,32845667,53.2,55.3,52.9,55.0,1.4,459
115,2023-08-18,1136184,60863034,54.5,54.6,52.9,53.0,-2.0,871
116,2023-08-21,600192,31807388,53.1,53.6,52.4,53.1,0.1,455
117,2023-08-22,898091,47453951,53.6,54.1,52.0,52.7,-0.4,543
118,2023-08-23,377421,19952017,52.3,53.3,52.3,53.0,0.3,276
119,2023-08-24,1000952,53122044,53.1,54.3,52.4,52.8,-0.2,705
120,2023-08-25,590414,31636245,52.5,54.0,52.5,53.6,0.8,449
121,2023-08-28,603165,31895759,53.5,53.7,52.5,53.1,-0.5,445
122,2023-08-29,562348,30056088,53.0,54.0,52.9,53.7,0.6,545
123,2023-08-30,483551,26239156,53.8,54.7,53.5,54.3,0.6,425
124,2023-08-31,485210,26256567,54.3,54.7,53.8,54.0,-0.3,436
125,2023-09-01,829847,45710915,54.0,55.7,54.0,55.7,1.7,630
126,2023-09-04,583458,32383498,55.7,56.0,54.8,55.6,-0.1,525
127,2023-09-05,582162,32707982,55.5,57.0,55.4,56.2,0.6,430
128,2023-09-06,709465,39930814,56.1,56.7,55.9,56.1,-0.1,440
129,2023-09-07,478934,26821102,55.8,56.3,55.6,56.0,-0.1,309
130,2023-09-08,702482,39940923,56.0,57.5,56.0,57.2,1.2,630
131,2023-09-11,840390,48238897,57.5,58.2,56.8,57.0,-0.2,544
132,2023-09-12,2092422,120387216,57.0,58.8,55.8,58.2,1.2,969
133,2023-09-13,2018963,121762178,58.2,61.4,58.2,60.5,2.3,1408
134,2023-09-14,982534,59768287,60.6,61.5,60.2,61.0,0.5,676
135,2023-09-15,605109,36787055,60.7,61.3,60.3,61.0,0.0,476
136,2023-09-18,646520,39888961,60.3,62.3,60.3,61.7,0.7,542
137,2023-09-19,1061003,65721589,61.8,62.5,61.5,61.7,0.0,702
138,2023-09-20,494551,30559998,61.4,62.1,61.3,61.5,-0.2,344
139,2023-09-21,642184,39219303,61.5,62.0,60.3,61.0,-0.5,490
140,2023-09-22,582720,35358589,61.2,61.2,60.3,60.5,-0.5,394
141,2023-09-25,724428,43887523,60.6,61.4,60.1,60.5,0.0,457
142,2023-09-26,677283,40409508,60.3,60.4,59.2,59.3,-1.2,576
143,2023-09-27,396446,23633076,59.4,60.1,58.8,59.8,0.5,240
