,Date,Capacity,Turnover,Open,High,Low,Close,Change,Transaction
0,2023-03-01,57900,1403804,24.1,24.3,24.1,24.3,-0.25,263
1,2023-03-02,25015,606646,24.3,24.3,24.2,24.2,-0.1,76
2,2023-03-03,56567,1375077,24.5,24.5,24.2,24.3,0.1,100
3,2023-03-06,233466,5648879,24.55,24.7,23.6,23.8,-0.5,212
4,2023-03-07,105995,2571614,24.0,24.4,24.0,24.3,0.5,163
5,2023-03-08,95784,2330343,24.3,24.6,24.2,24.55,0.25,126
6,2023-03-09,39019,954330,24.55,24.65,24.3,24.45,-0.1,109
7,2023-03-10,100114,2434812,24.45,24.45,24.2,24.4,-0.05,1219
8,2023-03-13,137473,3364258,24.55,24.55,24.4,24.5,0.1,1178
9,2023-03-14,83272,2033234,24.35,24.5,24.35,24.4,-0.1,598
10,2023-03-15,66691,1628258,24.55,24.55,24.25,24.35,-0.05,540
11,2023-03-16,44109,1073161,24.35,24.4,24.25,24.3,-0.05,471
12,2023-03-17,36304,881271,23.9,24.4,23.9,24.3,0.0,431
13,2023-03-20,30105,733177,24.35,24.4,24.3,24.35,0.05,789
14,2023-03-21,95337,2329653,24.4,24.5,24.35,24.5,0.15,665
15,2023-03-22,147445,3617765,24.5,24.65,24.5,24.65,0.15,924
16,2023-03-23,167129,4125878,24.7,24.8,24.6,24.8,0.15,847
17,2023-03-24,99361,2434169,24.6,24.6,24.4,24.5,-0.3,310
18,2023-03-27,38076,933388,24.5,24.65,24.4,24.5,0.0,239
19,2023-03-28,1145825,30765515,24.5,24.55,24.35,24.35,-0.15,154
20,2023-03-29,94207,2317549,24.55,24.65,24.45,24.6,0.25,108
21,2023-03-30,108823,2691010,24.75,24.85,24.6,24.75,0.15,141
22,2023-03-31,59716,1473325,24.75,24.8,24.6,24.7,-0.05,92
23,2023-04-06,196887,4824700,24.6,24.7,24.25,24.7,0.0,105
24,2023-04-07,176728,4374106,24.7,24.8,24.7,24.8,0.1,135
25,2023-04-10,1450142,38765577,24.85,25.6,24.8,25.35,0.55,283
26,2023-04-11,520608,13659530,25.4,27.0,25.4,26.55,1.2,410
27,2023-04-12,426048,11538410,26.65,27.25,26.65,27.2,0.65,407
28,2023-04-13,1402808,41389469,27.25,27.35,26.95,27.2,0.0,227
29,2023-04-14,434346,12208002,27.65,28.5,27.65,28.1,0.9,402
30,2023-04-17,363172,10205795,28.1,28.3,28.0,28.0,-0.1,273
31,2023-04-18,305984,8426717,28.0,28.0,27.3,27.3,-0.7,233
32,2023-04-19,118735,3225636,27.4,27.45,26.95,27.15,-0.15,144
33,2023-04-20,132626,3549495,27.15,27.15,26.55,26.55,-0.6,378
34,2023-04-21,230132,6005494,26.4,26.7,25.95,26.0,-0.55,284
35,2023-04-24,132031,3531069,26.05,27.15,26.0,27.0,1.0,145
36,2023-04-25,277206,7557665,27.15,27.7,26.55,26.9,-0.1,209
37,2023-04-26,203031,5518612,27.1,27.35,26.85,27.15,0.25,159
38,2023-04-27,1221226,36334064,27.25,27.25,26.8,27.05,-0.1,60
39,2023-04-28,221602,6091493,27.05,27.75,27.05,27.4,0.35,185
40,2023-05-02,101095,2758545,27.5,27.6,27.0,27.0,-0.4,108
41,2023-05-03,60235,1631866,27.5,27.5,27.0,27.1,0.1,88
42,2023-05-04,57378,1553606,27.1,27.15,27.0,27.15,0.05,86
43,2023-05-05,62912,1709244,27.1,27.25,27.1,27.25,0.1,68
44,2023-05-08,105528,2893388,27.5,27.7,27.15,27.15,-0.1,91
45,2023-05-09,79606,2131481,27.15,27.15,26.6,26.8,-0.35,103
46,2023-05-10,33326,892679,26.8,26.9,26.65,26.8,0.0,134
47,2023-05-11,152722,4044874,26.9,26.9,26.25,26.7,-0.1,276
48,2023-05-12,84986,2233520,26.4,26.4,26.15,26.35,-0.35,88
49,2023-05-15,44767,1193975,27.0,27.0,26.5,26.65,0.3,44
50,2023-05-16,95869,2577585,26.7,27.0,26.7,26.95,0.3,102
51,2023-05-17,222940,6034336,27.0,27.2,26.95,27.05,0.1,193
52,2023-05-18,120174,3253502,27.4,27.4,26.9,27.05,0.0,126
53,2023-05-19,59839,1621009,27.15,27.2,27.0,27.1,0.05,148
54,2023-05-22,83523,2276941,27.25,27.35,27.2,27.3,0.2,81
55,2023-05-23,170904,4681175,27.5,27.5,27.25,27.3,0.0,94
56,2023-05-24,62659,1711444,27.3,27.4,27.2,27.3,0.0,68
57,2023-05-25,1263756,37737706,27.3,27.4,27.1,27.1,-0.2,171
58,2023-05-26,85550,2296027,27.15,27.15,26.7,27.0,-0.1,81
59,2023-05-29,63889,1720166,27.2,27.2,26.8,26.9,-0.1,134
60,2023-05-30,45532,1227536,27.1,27.1,26.9,26.9,0.0,40
61,2023-05-31,114701,3101156,26.9,27.4,26.85,27.3,0.4,222
62,2023-06-01,889955,26277583,27.2,27.25,27.05,27.05,-0.25,85
63,2023-06-02,47182,1284405,27.0,27.3,27.0,27.2,0.15,69
64,2023-06-05,200299,5489599,27.3,27.5,27.3,27.4,0.2,143
65,2023-06-06,221548,6143195,27.5,27.95,27.4,27.75,0.35,199
66,2023-06-07,1266436,38442448,27.7,27.85,27.6,27.75,0.0,126
67,2023-06-08,46203,1280253,27.8,27.85,27.65,27.65,-0.1,60
68,2023-06-09,321462,9073908,27.7,28.5,27.7,28.2,0.55,249
69,2023-06-12,398333,11364371,28.25,28.8,28.2,28.5,0.3,294
70,2023-06-13,97274,2778244,28.5,28.75,28.35,28.65,0.15,121
71,2023-06-14,194432,5491734,28.65,28.65,28.0,28.2,-0.45,179
72,2023-06-15,78157,2201519,28.0,28.4,28.0,28.4,0.2,88
73,2023-06-16,194816,5459756,28.2,28.2,27.9,28.0,-0.4,271
74,2023-06-19,80107,2244259,28.0,28.15,27.95,27.95,-0.05,89
75,2023-06-20,1079903,32829363,27.9,28.0,27.85,27.9,-0.05,119
76,2023-06-21,113014,3162208,28.0,28.25,27.9,28.25,0.35,100
77,2023-06-26,138377,3894739,28.25,28.25,28.05,28.25,0.0,470
78,2023-06-27,214576,5841908,27.8,27.85,26.85,26.95,0.0,171
79,2023-06-28,49232,1331662,27.45,27.45,26.95,27.0,0.05,45
80,2023-06-29,42841,1162906,27.0,27.3,27.0,27.0,0.0,39
81,2023-06-30,29208,788472,26.9,27.1,26.9,27.05,0.05,38
82,2023-07-03,57412,1552984,27.05,27.1,27.0,27.05,0.0,74
