,Date,Capacity,Turnover,Open,High,Low,Close,Change,Transaction
0,2023-03-01,1855274,45380707,24.25,24.65,24.15,24.45,0.25,922
1,2023-03-02,3066820,76294703,24.55,25.15,24.5,24.75,0.3,1749
2,2023-03-03,2214346,54171890,24.8,25.05,24.2,24.2,-0.55,1403
3,2023-03-06,1882035,46540503,24.4,25.0,24.35,24.7,0.5,1092
4,2023-03-07,4872882,123215937,24.9,25.65,24.85,25.3,0.6,2708
5,2023-03-08,3462785,87872700,25.0,25.8,25.0,25.25,-0.05,2008
6,2023-03-09,3199075,79883327,25.5,25.6,24.4,25.05,-0.2,2064
7,2023-03-10,2866597,69810249,24.85,24.9,24.05,24.1,-0.95,1742
8,2023-03-13,2489929,58665113,23.8,24.0,23.0,23.85,-0.25,1388
9,2023-03-14,1750688,42240234,23.95,24.35,23.9,24.0,0.15,1016
10,2023-03-15,2770834,68402885,24.25,25.05,24.2,24.55,0.55,1653
11,2023-03-16,2407723,57128735,24.2,24.55,23.15,23.4,-1.15,1579
12,2023-03-17,2600464,63466174,23.85,24.8,23.85,24.6,1.2,1400
13,2023-03-20,17396668,463725397,25.1,27.05,24.7,27.05,2.45,7063
14,2023-03-21,10817173,316273859,28.4,29.75,28.3,29.75,2.7,4801
15,2023-03-22,28155789,875705911,31.0,32.4,30.0,30.1,0.35,14626
16,2023-03-23,11502230,354428025,30.6,31.5,30.2,30.55,0.45,6713
17,2023-03-24,10139048,299005101,30.85,31.0,28.85,29.3,-1.25,6038
18,2023-03-27,6714589,195160703,29.0,29.85,28.5,28.6,-0.7,3686
19,2023-03-28,4822731,134847246,28.75,28.75,27.5,27.85,-0.75,3006
20,2023-03-29,4030897,111760938,28.1,28.35,27.3,27.3,-0.55,2309
21,2023-03-30,4116215,114618147,27.65,28.25,27.4,27.75,0.45,2180
22,2023-03-31,2801511,78240702,28.0,28.15,27.55,28.1,0.35,1598
23,2023-04-06,2770227,77704445,28.15,28.6,27.25,28.35,0.25,1810
24,2023-04-07,4306685,123920076,28.5,29.1,28.4,28.55,0.2,2488
25,2023-04-10,2636812,76251659,28.9,29.2,28.7,28.8,0.25,1529
26,2023-04-11,5038364,146886983,29.0,29.45,28.5,29.1,0.3,2974
27,2023-04-12,7231458,230336056,31.2,32.0,31.2,32.0,2.9,2793
28,2023-04-13,9708534,339207490,35.1,35.2,34.0,35.2,3.2,4066
29,2023-04-14,52764554,1882687968,35.35,37.85,33.8,36.5,1.3,26339
30,2023-04-17,16059879,623248894,37.5,40.15,37.1,40.15,3.65,8044
31,2023-04-18,37141707,1559965534,43.25,43.9,40.25,41.75,1.6,21258
32,2023-04-19,31103811,1330423281,41.95,45.0,41.15,42.25,0.5,17321
33,2023-04-20,6020548,242487193,42.2,42.2,39.35,39.35,-2.9,4015
34,2023-04-21,3593212,139362292,39.35,40.0,37.9,38.6,-0.75,2490
35,2023-04-24,2908885,115490824,39.0,40.25,39.0,40.0,1.4,1935
36,2023-04-25,3509171,140582504,41.0,41.1,39.0,39.1,-0.9,2240
37,2023-04-26,2056016,80836784,39.5,40.0,38.4,39.75,0.65,1320
38,2023-04-27,2104690,84255570,39.6,40.7,39.0,40.35,0.6,1466
39,2023-04-28,4391552,181629552,40.8,42.1,40.8,42.0,1.65,2882
40,2023-05-02,4156156,177021184,42.7,43.0,42.05,42.6,0.6,2764
41,2023-05-03,2617415,109073583,41.8,42.5,41.0,42.5,-0.1,1892
42,2023-05-04,9046244,396902893,42.5,45.2,42.5,44.5,2.0,5679
43,2023-05-05,22036238,943281228,45.1,46.0,41.0,41.05,-3.45,14076
44,2023-05-08,14597106,599987562,41.35,42.2,39.3,41.5,0.45,9357
45,2023-05-09,12059487,476754709,41.8,41.8,37.75,38.85,-2.65,7434
46,2023-05-10,6542005,253005842,39.2,39.65,38.0,38.1,-0.75,4307
47,2023-05-11,12844230,452708415,36.6,36.75,34.5,34.6,-3.5,7233
48,2023-05-12,14234836,522791262,35.25,38.05,34.7,37.1,2.5,8279
49,2023-05-15,6578405,237025378,36.3,36.85,35.5,35.9,-1.2,4282
50,2023-05-16,5701271,208682301,36.9,37.65,36.0,36.45,0.55,3447
51,2023-05-17,3481091,128547338,36.6,37.35,36.2,37.1,0.65,2195
52,2023-05-18,15062816,588097385,37.65,40.15,37.35,38.95,1.85,9118
53,2023-05-19,10447066,403007286,39.5,39.75,37.5,38.3,-0.65,6001
54,2023-05-22,10658903,422704709,38.3,40.4,37.95,39.45,1.15,6213
55,2023-05-23,7447047,293985189,39.8,40.15,38.8,39.5,0.05,4560
56,2023-05-24,7960512,316698320,39.1,40.4,38.85,39.4,-0.1,4877
57,2023-05-25,3900626,152176130,39.1,39.7,38.5,38.6,-0.8,2700
58,2023-05-26,4076953,153746279,38.4,38.6,37.1,37.15,-1.45,2885
59,2023-05-29,2462065,93581135,37.3,38.45,37.3,38.0,0.85,1636
60,2023-05-30,2243878,84614779,38.2,38.45,37.2,37.7,-0.3,1585
61,2023-05-31,2336251,89121333,37.7,38.35,37.7,38.35,0.65,1401
62,2023-06-01,2437616,93360047,38.25,38.7,37.85,38.25,-0.1,1553
63,2023-06-02,15584957,641232755,38.65,42.05,38.6,42.05,3.8,7738
64,2023-06-05,29166299,1211038249,42.45,42.95,40.25,40.25,-1.8,15578
65,2023-06-06,8999454,365476113,40.45,41.2,39.75,40.55,0.3,6010
66,2023-06-07,9660712,400019808,41.2,42.3,40.7,41.3,0.75,5799
67,2023-06-08,5770067,236562251,41.4,41.9,40.05,40.35,-0.95,4142
68,2023-06-09,4673693,186993923,40.6,40.85,39.15,40.25,-0.1,2993
69,2023-06-12,13054092,544060973,43.15,43.15,40.65,40.9,0.65,7888
70,2023-06-13,5520208,227962671,41.05,41.7,41.0,41.35,0.45,3316
71,2023-06-14,8048571,334566445,41.95,42.3,40.7,40.7,-0.65,4651
72,2023-06-15,9655201,399519029,40.8,42.2,40.1,41.5,0.8,5966
73,2023-06-16,31303615,1361614789,42.8,45.1,42.35,42.55,1.05,18889
74,2023-06-19,10526641,446819075,42.6,43.5,41.75,42.1,-0.45,7110
75,2023-06-20,9136451,388302367,41.85,42.95,41.7,42.85,0.75,5767
76,2023-06-21,5057085,215465816,42.7,43.1,42.2,42.55,-0.3,3393
77,2023-06-26,8147300,350730115,42.95,43.8,42.0,43.25,0.7,5103
78,2023-06-27,11455962,484408342,43.25,44.4,40.8,41.0,-2.25,7605
79,2023-06-28,4607657,186546086,41.6,41.7,39.75,39.75,-1.25,3212
80,2023-06-29,2050564,82179582,40.05,40.5,39.8,40.0,0.25,1510
81,2023-06-30,2331879,94235345,40.25,40.75,39.75,40.55,0.55,1541
82,2023-07-03,2950989,122169655,41.2,41.8,40.85,41.55,1.0,2123
83,2023-07-04,3438183,141498347,42.0,42.1,40.8,40.85,-0.7,2536
84,2023-07-05,3791270,152984036,40.85,41.5,39.95,39.95,-0.9,2431
85,2023-07-06,2700650,107176897,40.0,40.2,39.4,39.4,-0.55,1898
86,2023-07-07,2682900,104521559,39.35,39.6,38.5,38.9,-0.5,1952
87,2023-07-10,2639862,104439958,39.0,40.2,38.7,39.5,0.6,1803
88,2023-07-11,6298763,250149011,39.1,40.65,38.7,39.75,0.25,4070
89,2023-07-12,5976249,239774504,40.0,40.45,39.7,40.1,0.35,2569
90,2023-07-13,2979783,117994261,40.5,40.6,39.0,39.0,-1.1,2183
91,2023-07-14,14812584,612917656,39.0,42.35,39.0,40.8,1.8,7797
92,2023-07-17,24437586,1064731243,41.25,44.85,41.1,44.85,4.05,12423
93,2023-07-18,7270913,358455936,49.3,49.3,49.3,49.3,4.45,2854
94,2023-07-19,10081975,457085139,48.4,48.4,44.4,44.4,-4.9,4271
95,2023-07-20,29350781,1202877637,43.45,43.45,40.0,41.05,-3.35,15306
96,2023-07-21,14744206,612474118,41.05,42.8,40.2,41.35,0.3,8928
97,2023-07-24,6878237,278048275,41.95,41.95,39.7,39.95,-1.4,4661
98,2023-07-25,5257764,214314154,40.3,41.3,40.25,40.65,0.7,3027
99,2023-07-26,3538264,143193806,40.55,41.05,40.1,40.1,-0.55,2394
100,2023-07-27,4606551,186154330,39.8,41.15,39.1,40.7,0.0,2895
101,2023-07-28,2494699,100329295,40.3,40.8,39.7,40.2,-0.5,1495
102,2023-07-31,3322380,134182869,40.5,41.25,39.7,40.0,-0.2,2055
103,2023-08-01,2794784,110970496,40.7,40.8,39.2,39.45,-0.55,1989
104,2023-08-02,3071482,120595371,39.6,40.15,38.8,38.85,-0.6,2075
105,2023-08-04,1771210,68452509,39.0,39.2,37.9,38.65,-0.2,1280
106,2023-08-07,2138913,81463528,39.0,39.0,37.8,38.0,-0.65,1452
107,2023-08-08,3180968,119289263,38.1,38.55,36.9,37.0,-1.0,2301
108,2023-08-09,1739327,64364291,37.05,37.7,36.5,36.6,-0.4,1282
109,2023-08-10,2822898,99606705,36.7,36.7,34.6,34.85,-1.75,2035
110,2023-08-11,4472337,167492979,36.45,38.0,36.45,37.3,2.45,2918
111,2023-08-14,2262921,83194342,37.5,37.8,36.0,36.2,-1.1,1582
112,2023-08-15,1820905,66857788,36.55,37.2,36.3,37.0,0.8,1116
113,2023-08-16,3854634,135213631,36.0,36.0,34.05,35.8,-1.2,2480
114,2023-08-17,2077497,75323750,35.95,37.0,35.3,36.85,1.05,1439
115,2023-08-18,2408482,88105242,36.9,37.5,35.7,35.9,-0.95,1753
116,2023-08-21,1586516,57914015,36.3,37.25,36.1,36.35,0.45,1057
117,2023-08-22,1903031,67905906,36.6,36.6,35.3,35.3,-1.05,1285
118,2023-08-23,2323864,80455020,35.6,35.65,34.2,34.25,-1.05,1782
119,2023-08-24,1909755,65941108,34.6,35.1,34.1,34.25,0.0,1193
120,2023-08-25,2079981,70269943,34.3,34.3,33.45,33.75,-0.5,1366
121,2023-08-28,1965942,65148628,34.2,34.2,32.8,33.15,-0.6,1268
122,2023-08-29,1425780,47227718,33.7,33.7,32.7,33.05,-0.1,1047
123,2023-08-30,988542,32873124,33.4,33.45,33.0,33.25,0.2,696
124,2023-08-31,1176957,38961796,33.5,33.6,32.85,33.25,0.0,1046
125,2023-09-01,1668493,55978536,33.45,34.15,33.1,33.35,0.1,1150
126,2023-09-04,2346606,75869416,33.05,33.15,32.0,32.2,-1.15,1780
127,2023-09-05,1376366,44163861,32.2,32.45,31.9,32.05,-0.15,929
128,2023-09-06,1192504,38027826,32.3,32.35,31.75,31.75,-0.3,865
129,2023-09-07,1283019,40784090,31.9,32.2,31.5,31.6,-0.15,935
130,2023-09-08,885825,27974636,31.6,31.85,31.2,31.85,0.25,664
131,2023-09-11,1731869,54741104,32.0,32.4,31.0,31.0,-0.85,1290
132,2023-09-12,899080,27869716,31.5,31.5,30.7,30.7,-0.3,720
133,2023-09-13,977825,30169147,30.95,31.1,30.4,30.85,0.15,1263
134,2023-09-14,821022,25596922,30.85,31.4,30.7,31.4,0.55,1082
135,2023-09-15,1076366,33360147,31.4,31.4,30.7,31.1,-0.3,1310
136,2023-09-18,701185,21821207,30.9,31.5,30.7,31.05,-0.05,672
137,2023-09-19,1791112,56379727,31.25,31.95,31.1,31.3,0.25,1384
138,2023-09-20,626340,19447578,31.1,31.4,30.8,30.8,-0.5,699
139,2023-09-21,1122169,33955053,30.5,30.65,30.0,30.25,-0.55,943
140,2023-09-22,703806,21309328,30.2,30.55,29.8,30.25,0.0,568
141,2023-09-25,835942,25677325,30.15,30.9,30.15,30.7,0.45,659
142,2023-09-26,1341503,41852354,30.9,31.6,30.4,31.05,0.35,1102
143,2023-09-27,645950,19981405,31.05,31.3,30.7,30.7,-0.35,600
144,2023-09-28,2902792,92957636,30.9,32.5,30.9,32.5,1.8,2190
145,2023-10-02,2267795,73416344,32.55,32.75,31.9,32.6,0.1,1643
146,2023-10-03,2079273,67372857,32.6,33.1,31.8,32.25,-0.35,1304
147,2023-10-04,868275,27296571,31.7,31.95,31.15,31.35,-0.9,749
148,2023-10-05,1722043,55364392,31.6,32.6,31.6,32.25,0.9,1138
149,2023-10-06,853990,27567458,32.15,32.7,31.9,32.35,0.1,653
150,2023-10-11,3675326,122514890,34.4,34.4,32.55,32.65,0.3,2447
151,2023-10-12,964629,31851854,32.8,33.5,32.75,32.85,0.2,887
152,2023-10-13,766111,25217267,32.6,33.25,32.55,32.95,0.1,614
153,2023-10-16,2603143,86141165,32.7,33.5,32.55,32.55,-0.4,1731
154,2023-10-17,1556921,49505855,32.75,32.75,31.1,31.2,-1.35,1221
155,2023-10-18,1080484,32975004,31.05,31.05,30.2,30.5,-0.7,862
156,2023-10-19,555824,16865953,30.05,30.8,30.05,30.5,0.0,503
157,2023-10-20,860988,25562699,30.25,30.3,29.45,29.65,-0.85,723
158,2023-10-23,1178754,36059947,29.45,31.0,29.45,30.8,1.15,781
159,2023-10-24,671818,20764982,30.8,31.2,30.5,31.2,0.4,624
160,2023-10-25,723798,22501712,31.2,31.5,30.7,30.75,-0.45,691
161,2023-10-26,720706,21715137,30.6,30.6,29.8,29.85,-0.9,712
162,2023-10-27,568752,17071883,30.5,30.5,29.85,29.9,0.05,380
163,2023-10-30,489156,14818109,30.15,30.65,29.9,30.2,0.3,429
164,2023-10-31,612872,18292288,30.3,30.65,29.5,29.5,-0.7,597
165,2023-11-01,597066,17493079,29.9,29.9,29.0,29.3,-0.2,515
166,2023-11-02,751626,22530992,29.5,30.35,29.5,29.85,0.55,621
167,2023-11-03,484387,14554492,30.25,30.45,29.85,29.9,0.05,530
168,2023-11-06,632962,19263779,30.3,30.6,30.0,30.6,0.7,514
169,2023-11-07,351941,10712339,30.5,30.7,30.25,30.45,-0.15,364
170,2023-11-08,429402,12973312,30.8,30.8,30.1,30.15,-0.3,372
