,Date,Capacity,Turnover,Open,High,Low,Close,Change,Transaction
0,2023-03-01,918846,29112760,31.5,31.9,31.45,31.5,0.25,708
1,2023-03-02,819806,26035075,31.6,31.95,31.5,31.9,0.4,715
2,2023-03-03,1329771,42487586,32.05,32.1,31.7,31.95,0.05,768
3,2023-03-06,1092368,34909346,32.1,32.15,31.85,31.85,-0.1,727
4,2023-03-07,931017,29486049,31.85,31.95,31.55,31.55,-0.3,756
5,2023-03-08,1450079,45308738,31.55,31.55,31.05,31.1,-0.45,1008
6,2023-03-09,1184144,36826030,31.15,31.25,30.95,31.15,0.05,705
7,2023-03-10,1353890,41561844,31.2,31.2,30.5,30.6,-0.55,941
8,2023-03-13,770916,23413175,30.6,30.7,30.0,30.45,-0.15,670
9,2023-03-14,570437,17426372,30.45,30.75,30.3,30.5,0.05,470
10,2023-03-15,421275,12854639,30.6,30.65,30.25,30.45,-0.05,422
11,2023-03-16,960928,28991095,30.25,30.5,30.0,30.0,-0.45,605
12,2023-03-17,350402,10575301,30.1,30.4,30.1,30.15,0.15,317
13,2023-03-20,396989,12024764,30.15,30.45,30.0,30.45,0.3,315
14,2023-03-21,388835,11873215,30.5,30.65,30.4,30.45,0.0,329
15,2023-03-22,191075,5838254,30.7,30.7,30.5,30.6,0.15,236
16,2023-03-23,306345,9353460,30.55,30.65,30.45,30.45,-0.15,290
17,2023-03-24,428799,13128438,30.45,30.8,30.35,30.7,0.25,348
18,2023-03-27,272019,8348807,30.7,30.8,30.55,30.7,0.0,314
19,2023-03-28,504945,15500381,30.7,31.0,30.45,30.7,0.0,408
20,2023-03-29,458777,14182578,30.8,31.0,30.75,30.95,0.25,644
21,2023-03-30,251288,7781181,31.0,31.1,30.9,31.0,0.05,499
22,2023-03-31,298038,9218705,31.0,31.05,30.85,30.95,-0.05,362
23,2023-04-06,678887,21271850,31.0,31.45,31.0,31.3,0.35,759
24,2023-04-07,342758,10723798,31.3,31.4,31.15,31.3,0.0,489
25,2023-04-10,449898,14002968,31.35,31.4,30.95,31.1,-0.2,567
26,2023-04-11,262220,8168898,31.1,31.25,31.05,31.1,0.0,322
27,2023-04-12,1726672,54709927,31.6,31.85,31.5,31.5,0.4,1096
28,2023-04-13,1466819,46728131,31.7,32.1,31.6,31.65,0.15,1012
29,2023-04-14,665086,21128337,31.6,31.95,31.55,31.75,0.1,633
30,2023-04-17,2093045,67510003,32.15,32.5,32.0,32.25,0.5,1372
31,2023-04-18,2732509,88741085,32.55,32.85,32.0,32.8,0.55,1930
32,2023-04-19,2422551,79313362,33.05,33.05,32.35,32.85,0.05,1811
33,2023-04-20,1924545,61813140,32.7,32.75,31.85,31.85,-1.0,1224
34,2023-04-21,1753174,55096995,31.85,32.0,31.05,31.2,-0.65,1048
35,2023-04-24,758372,24048547,31.25,32.0,31.25,31.65,0.45,556
36,2023-04-25,932658,29272578,31.7,32.1,31.05,31.15,-0.5,678
37,2023-04-26,627393,19547854,31.65,31.65,31.0,31.25,0.1,420
38,2023-04-27,552782,17370620,31.25,31.7,31.15,31.5,0.25,359
39,2023-04-28,3759836,122541821,31.8,33.05,31.8,32.6,1.1,2030
40,2023-05-02,2461540,80789087,32.9,33.05,32.55,32.85,0.25,1368
41,2023-05-03,1597870,52603945,32.8,33.1,32.55,33.0,0.15,940
42,2023-05-04,4175538,139896518,33.1,33.85,33.05,33.8,0.8,2183
43,2023-05-05,9024976,308312831,34.0,34.8,33.4,33.75,-0.05,5174
44,2023-05-08,2141947,71927128,33.8,34.05,33.25,33.4,-0.35,1336
45,2023-05-09,2419810,80021672,33.6,33.9,32.65,32.8,-0.6,1264
46,2023-05-10,1403553,46407048,32.8,33.35,32.7,33.25,0.45,783
47,2023-05-11,2735038,88324228,33.05,33.05,31.7,32.0,-1.25,1403
48,2023-05-12,849138,27222879,31.95,32.3,31.85,32.25,0.25,460
49,2023-05-15,800330,25795715,32.25,32.5,32.05,32.45,0.2,495
50,2023-05-16,1032298,33951076,32.6,33.1,32.55,32.8,0.35,717
51,2023-05-17,1172181,38861614,32.9,33.3,32.8,33.1,0.3,754
52,2023-05-18,955468,31623707,33.1,33.25,32.8,33.1,0.0,573
53,2023-05-19,892634,29224869,33.0,33.2,32.55,32.65,-0.45,601
54,2023-05-22,1362893,45309551,32.7,33.6,32.7,33.5,0.85,661
55,2023-05-23,2097774,70961273,33.6,34.1,33.3,33.8,0.3,1106
56,2023-05-24,1089979,36966476,33.9,34.15,33.65,33.95,0.15,723
57,2023-05-25,736438,24768530,34.0,34.05,33.5,33.6,-0.35,584
58,2023-05-26,791526,26414370,33.75,33.75,33.25,33.3,-0.3,520
59,2023-05-29,837417,27897903,33.3,33.6,33.1,33.5,0.2,554
60,2023-05-30,935415,31322205,33.65,33.8,33.2,33.4,-0.1,598
61,2023-05-31,544443,18248178,33.4,33.7,33.4,33.6,0.2,401
