,Date,Capacity,Turnover,Open,High,Low,Close,Change,Transaction
0,2023-03-01,8320,324170,38.7,39.25,38.65,39.25,-0.6,15
1,2023-03-02,10180,404678,40.25,40.25,38.85,39.9,0.65,15
2,2023-03-03,20066,795051,40.1,40.1,39.3,39.6,-0.3,26
3,2023-03-06,20075,793019,39.6,39.75,38.6,39.75,0.15,12
4,2023-03-07,15100,598175,39.75,39.9,39.45,39.45,-0.3,15
5,2023-03-08,4207,167135,39.8,39.8,39.6,39.75,0.3,10
6,2023-03-09,8000,316900,40.0,40.05,39.15,39.6,-0.15,8
7,2023-03-10,7000,274400,39.65,39.65,38.8,39.6,0.0,7
8,2023-03-13,2000,78950,39.35,39.6,39.35,39.6,0.0,2
9,2023-03-14,9231,360745,39.05,39.4,39.0,39.4,-0.2,15
10,2023-03-15,2010,78545,39.0,39.15,39.0,39.15,-0.25,3
11,2023-03-16,7110,273390,38.75,38.75,38.3,38.75,-0.4,10
12,2023-03-17,11000,425700,38.65,39.65,38.3,38.75,0.0,11
13,2023-03-20,1000,39850,39.85,39.85,39.85,39.85,1.1,1
14,2023-03-21,0,0,,,,,0.0,0
15,2023-03-22,7000,278300,40.0,40.0,39.65,39.9,0.0,5
16,2023-03-23,15000,586850,39.5,39.5,38.9,39.45,-0.45,12
17,2023-03-24,1029,40565,39.4,39.4,39.4,39.4,-0.05,3
18,2023-03-27,28000,1097400,39.4,39.75,38.9,39.5,0.1,22
19,2023-03-28,21001,823943,39.1,39.8,39.0,39.8,0.3,16
20,2023-03-29,1000,39750,39.75,39.75,39.75,39.75,-0.05,1
21,2023-03-30,10057,397530,39.85,39.85,39.3,39.65,-0.1,13
22,2023-03-31,29020,1153546,39.7,39.8,39.7,39.8,0.15,23
23,2023-04-06,1000,39800,39.8,39.8,39.8,39.8,0.0,1
24,2023-04-07,11000,435450,40.0,40.0,39.3,39.85,0.05,11
25,2023-04-10,4000,158650,39.6,39.9,39.55,39.9,0.05,4
26,2023-04-11,27120,1080206,39.95,40.0,39.6,40.0,0.1,25
27,2023-04-12,26010,1040400,40.0,40.35,39.8,40.35,0.35,23
28,2023-04-13,3000,121350,40.45,40.45,40.45,40.45,0.1,3
29,2023-04-14,17000,686150,40.45,40.45,40.2,40.4,-0.05,11
30,2023-04-17,18017,728320,40.4,40.5,40.35,40.35,-0.05,14
31,2023-04-18,8215,331475,40.35,40.35,40.35,40.35,0.0,10
32,2023-04-19,25010,1003604,40.4,40.4,40.0,40.4,0.05,18
33,2023-04-20,27286,1118259,40.0,43.05,40.0,41.8,1.4,26
34,2023-04-21,12116,501670,41.8,41.8,40.6,40.95,-0.85,15
35,2023-04-24,44000,1815800,41.2,41.9,40.6,40.6,-0.35,19
36,2023-04-25,4010,165960,41.8,41.8,40.6,41.35,0.75,5
37,2023-04-26,8025,328255,41.3,41.3,40.65,41.2,-0.15,9
38,2023-04-27,2001,83645,41.85,41.85,41.75,41.75,0.55,3
39,2023-04-28,10000,409850,40.75,41.55,40.7,41.5,-0.25,9
40,2023-05-02,2000,83050,41.2,41.85,41.2,41.85,0.35,2
41,2023-05-03,10000,414250,41.2,41.55,41.2,41.45,-0.4,8
42,2023-05-04,12071,499948,41.75,41.75,41.25,41.5,0.05,15
43,2023-05-05,13117,541921,41.7,41.7,41.1,41.5,0.0,16
44,2023-05-08,28005,1153257,41.5,41.5,41.0,41.2,-0.3,18
45,2023-05-09,35220,1446078,41.6,41.6,40.85,41.3,0.1,28
46,2023-05-10,18000,747800,41.95,41.95,41.3,41.3,0.0,14
47,2023-05-11,10020,412230,41.55,41.55,40.95,41.25,-0.05,12
48,2023-05-12,6201,256320,41.85,41.85,41.0,41.5,0.25,11
49,2023-05-15,93580,3869094,41.35,41.7,41.25,41.55,0.05,44
50,2023-05-16,8252,342984,41.5,41.6,41.4,41.6,0.05,10
51,2023-05-17,24248,1013066,41.75,42.0,41.6,41.85,0.25,21
52,2023-05-18,27130,1136078,41.95,42.0,41.25,41.9,0.05,21
53,2023-05-19,17070,716486,42.0,42.0,41.9,42.0,0.1,13
54,2023-05-22,5001,209992,42.0,42.0,41.95,42.0,0.0,6
55,2023-05-23,18100,761400,42.0,42.35,42.0,42.1,0.1,9
56,2023-05-24,27000,1136900,42.2,42.2,42.0,42.2,0.1,12
57,2023-05-25,24130,1027385,42.25,43.2,42.2,42.5,0.3,23
58,2023-05-26,15000,637850,42.7,43.0,41.2,43.0,0.5,12
59,2023-05-29,17080,733540,43.2,43.2,42.8,43.0,0.0,18
60,2023-05-30,29029,1240949,43.1,43.2,42.1,43.0,0.0,23
61,2023-05-31,3171,135820,43.1,43.1,42.45,42.9,-0.1,4
62,2023-06-01,6000,257450,42.95,42.95,42.9,42.9,0.0,6
63,2023-06-02,9015,386445,42.95,43.0,42.8,43.0,0.1,10
64,2023-06-05,15000,641100,43.0,43.1,42.2,43.0,0.0,15
65,2023-06-06,16000,683050,42.35,43.1,42.3,43.0,0.0,16
66,2023-06-07,21300,905350,42.45,42.8,42.35,42.75,-0.25,22
67,2023-06-08,24167,1026015,42.75,42.85,42.3,42.85,0.1,25
68,2023-06-09,21254,903922,42.8,42.8,42.4,42.6,-0.25,23
69,2023-06-12,15010,636430,42.8,42.8,42.05,42.6,0.0,15
70,2023-06-13,11100,472750,42.6,42.65,42.4,42.6,0.0,10
71,2023-06-14,10010,423730,42.5,42.6,42.25,42.45,-0.15,11
72,2023-06-15,9020,381910,42.2,42.55,42.15,42.55,0.1,10
73,2023-06-16,6000,255100,42.6,42.6,42.3,42.3,-0.25,6
74,2023-06-19,5000,212550,42.55,42.55,42.5,42.5,0.2,5
75,2023-06-20,6000,253200,42.15,42.3,42.15,42.3,-0.2,6
76,2023-06-21,22220,948060,42.1,42.9,42.1,42.9,0.6,25
77,2023-06-26,5000,213800,42.6,42.85,42.6,42.85,-0.05,4
78,2023-06-27,7000,295650,42.2,42.5,42.15,42.35,-0.5,5
79,2023-06-28,2000,85350,42.9,42.9,42.45,42.45,0.1,2
80,2023-06-29,6000,254800,42.45,42.5,42.45,42.5,0.05,4
81,2023-06-30,1120,47624,42.5,42.5,42.5,42.5,0.0,3
82,2023-07-03,12073,512852,42.45,42.5,42.45,42.5,0.0,8
83,2023-07-04,21061,884241,41.65,42.45,41.65,42.45,-0.05,19
84,2023-07-05,4140,174349,42.0,42.4,42.0,42.4,-0.05,8
85,2023-07-06,19110,805336,41.75,42.45,41.7,42.45,0.05,19
86,2023-07-07,24000,1008750,41.75,42.5,41.75,42.5,0.05,23
87,2023-07-10,0,0,,,,,0.0,0
88,2023-07-11,10000,424250,42.5,42.5,42.35,42.5,0.0,6
89,2023-07-12,2184,92875,42.5,42.5,42.5,42.5,0.0,3
90,2023-07-13,21045,888289,42.35,42.5,41.8,42.15,-0.35,25
91,2023-07-14,1045,44229,42.3,42.3,42.3,42.3,0.15,4
92,2023-07-17,3027,128214,42.35,42.35,42.35,42.35,0.05,7
93,2023-07-18,16000,676900,42.4,42.4,42.25,42.25,-0.1,11
94,2023-07-19,7205,302759,41.95,42.25,41.95,42.25,0.0,10
95,2023-07-20,8059,340845,42.25,42.3,42.25,42.3,0.05,9
96,2023-07-21,15000,629650,41.9,42.3,41.8,42.3,0.0,14
97,2023-07-24,4000,169250,42.35,42.35,42.3,42.3,0.0,3
98,2023-07-25,26066,1092945,42.35,42.35,41.3,41.7,-0.6,27
99,2023-07-26,15025,627212,41.6,42.15,41.6,42.15,0.45,14
100,2023-07-27,14257,602926,42.2,42.45,42.2,42.45,0.3,18
101,2023-07-28,7500,303750,40.45,40.45,40.0,40.45,0.0,8
102,2023-07-31,13030,523960,40.2,40.3,40.15,40.3,-0.15,13
103,2023-08-01,2000,80600,40.1,40.5,40.1,40.5,0.2,2
104,2023-08-02,11003,443527,40.4,40.5,40.05,40.5,0.0,10
105,2023-08-04,4003,161324,40.15,40.45,40.15,40.4,-0.1,5
106,2023-08-07,9102,364709,40.05,40.1,40.05,40.1,-0.3,12
107,2023-08-08,30000,1197500,40.0,40.0,39.7,40.0,-0.1,22
108,2023-08-09,19000,759300,40.0,40.0,39.8,39.8,-0.2,14
109,2023-08-10,28000,1108850,40.0,40.0,39.0,39.75,-0.05,22
110,2023-08-11,2000,79400,39.7,39.7,39.7,39.7,-0.05,1
111,2023-08-14,6211,247340,39.7,40.15,39.6,39.9,0.2,12
112,2023-08-15,4000,158650,39.5,39.75,39.5,39.7,-0.2,4
113,2023-08-16,6001,236640,39.3,39.7,39.3,39.7,0.0,7
114,2023-08-17,2000,79500,39.7,39.8,39.7,39.8,0.1,2
115,2023-08-18,7039,277560,39.45,39.55,39.35,39.55,-0.25,9
116,2023-08-21,3000,119400,39.8,39.8,39.8,39.8,0.25,2
117,2023-08-22,8000,316400,39.8,39.8,39.35,39.55,-0.25,8
118,2023-08-23,15000,591300,39.35,39.75,39.3,39.75,0.2,13
119,2023-08-24,17000,671750,39.8,39.85,39.3,39.75,0.0,13
120,2023-08-25,9005,357299,39.75,39.8,39.4,39.75,0.0,9
121,2023-08-28,2000,79000,39.5,39.5,39.5,39.5,-0.25,2
122,2023-08-29,33000,1294300,39.2,40.0,39.0,40.0,0.5,28
123,2023-08-30,13848,545440,39.8,39.8,39.2,39.7,-0.3,18
124,2023-08-31,12000,475650,39.7,39.75,39.5,39.75,0.05,8
125,2023-09-01,30000,1187350,39.8,39.8,39.5,39.8,0.05,16
126,2023-09-04,4001,159243,39.8,39.8,39.8,39.8,0.0,4
127,2023-09-05,40000,1594100,39.95,40.0,39.6,39.8,0.0,17
128,2023-09-06,9000,358100,39.95,39.95,39.7,39.8,0.0,9
129,2023-09-07,7000,276900,39.5,39.6,39.5,39.6,-0.2,4
130,2023-09-08,14000,553700,39.6,39.8,39.45,39.8,0.2,11
131,2023-09-11,15040,600200,39.8,40.0,39.6,40.0,0.2,10
132,2023-09-12,25400,1006688,39.6,39.95,39.5,39.95,-0.05,21
133,2023-09-13,43200,1733069,40.0,40.3,40.0,40.3,0.35,12
134,2023-09-14,20001,802490,40.3,40.3,40.0,40.25,-0.05,15
