,Date,Capacity,Turnover,Open,High,Low,Close,Change,Transaction
0,2023-03-01,3270097,88122870,27.2,27.3,26.7,27.0,-0.15,1775
1,2023-03-02,1166653,31468917,27.05,27.1,26.8,27.1,0.1,758
2,2023-03-03,3072282,84344174,27.1,27.65,27.05,27.5,0.4,1344
3,2023-03-06,2435635,67010202,27.65,27.8,27.25,27.6,0.1,1156
4,2023-03-07,3510214,96924559,27.75,27.8,27.4,27.4,-0.2,1648
5,2023-03-08,2029672,55080929,27.3,27.35,27.0,27.15,-0.25,1185
6,2023-03-09,4215551,117089730,27.3,28.2,27.05,28.0,0.85,2237
7,2023-03-10,3141657,85789264,27.8,27.85,27.1,27.3,-0.7,1955
8,2023-03-13,1682742,45303440,27.1,27.1,26.6,27.1,-0.2,1023
9,2023-03-14,1446337,39044233,27.0,27.25,26.85,27.0,-0.1,795
10,2023-03-15,937820,25472164,27.1,27.3,27.05,27.05,0.05,641
11,2023-03-16,1705934,45840558,27.0,27.3,26.6,26.75,-0.3,886
12,2023-03-17,2763298,72942696,26.85,26.85,26.25,26.3,-0.45,1730
13,2023-03-20,1191775,31255082,26.25,26.35,26.1,26.25,-0.05,614
14,2023-03-21,2252108,59307447,26.8,26.8,26.1,26.1,-0.15,1276
15,2023-03-22,1400055,36592513,26.25,26.3,26.0,26.1,0.0,764
16,2023-03-23,1526162,39644230,26.1,26.1,25.9,26.0,-0.1,1037
17,2023-03-24,1429419,37033472,26.05,26.05,25.8,25.9,-0.1,1011
18,2023-03-27,5184935,139120696,25.95,27.2,25.95,26.9,1.0,2710
19,2023-03-28,2113929,56579968,27.05,27.15,26.55,26.7,-0.2,1242
20,2023-03-29,1142341,30387217,26.7,26.85,26.5,26.55,-0.15,703
21,2023-03-30,935311,24854366,26.55,26.7,26.5,26.55,0.0,450
22,2023-03-31,779669,20748941,26.55,26.7,26.55,26.55,0.0,459
23,2023-04-06,899895,24008281,26.55,26.85,26.5,26.75,0.2,605
24,2023-04-07,1426608,38481725,26.8,27.15,26.65,27.15,0.4,847
25,2023-04-10,1610428,43772086,27.15,27.3,26.95,27.3,0.15,982
26,2023-04-11,2010156,55351358,27.3,27.8,27.2,27.5,0.2,1302
27,2023-04-12,1582086,43769676,27.5,27.85,27.5,27.75,0.25,1114
28,2023-04-13,1530652,42079501,27.75,27.75,27.25,27.55,-0.2,1125
29,2023-04-14,2336823,64616390,27.55,27.9,27.3,27.8,0.25,1445
30,2023-04-17,1529838,42232363,27.75,27.9,27.4,27.45,-0.35,1442
31,2023-04-18,3228282,89927711,27.55,28.05,27.4,27.95,0.5,1870
32,2023-04-19,2278725,63427110,27.95,28.05,27.55,27.75,-0.2,1182
33,2023-04-20,27645207,830304237,28.45,30.5,28.3,30.0,2.25,12898
34,2023-04-21,47376978,1515163286,31.75,33.0,30.2,30.25,0.25,21144
35,2023-04-24,33403481,1045226375,30.8,31.95,30.7,31.45,1.2,16315
36,2023-04-25,16439593,501901137,30.9,31.6,29.65,30.4,-1.05,8346
37,2023-04-26,22238319,695403395,30.6,31.9,30.15,31.75,1.35,11273
38,2023-04-27,11938053,370260999,31.4,31.55,30.6,31.05,-0.7,6336
39,2023-04-28,8707973,269161591,31.2,31.35,30.65,30.8,-0.25,4171
40,2023-05-02,7491564,232939021,30.9,31.5,30.5,31.35,0.55,3938
41,2023-05-03,7326556,228245428,31.35,31.6,30.85,30.9,-0.45,3687
42,2023-05-04,13233990,421698901,30.9,32.3,30.9,32.25,1.35,6752
