,Date,Capacity,Turnover,Open,High,Low,Close,Change,Transaction
0,2023-06-30,69983,567557,8.11,8.11,8.11,8.11,0.0,42
1,2023-07-03,2905827,25919938,8.92,8.92,8.92,8.92,0.81,1131
2,2023-07-04,1733962,16997719,9.8,9.81,9.8,9.81,0.89,548
3,2023-07-05,1014344,10864343,10.7,10.75,10.7,10.75,0.94,178
4,2023-07-06,549626,6485576,11.8,11.8,11.8,11.8,1.05,215
5,2023-07-07,685818,8881324,12.95,12.95,12.95,12.95,1.15,279
6,2023-07-10,2280271,31875781,14.2,14.2,12.0,12.0,-0.95,1455
7,2023-07-11,1013184,11274720,11.0,12.5,10.9,12.5,0.5,1422
8,2023-07-12,362437,4271474,12.05,12.05,11.3,11.3,-1.2,796
9,2023-07-13,456294,4990427,11.25,11.25,10.85,11.2,-0.1,775
10,2023-07-14,203028,2364650,11.0,11.9,11.0,11.7,0.5,494
11,2023-07-17,163682,1898984,11.55,11.7,11.55,11.6,-0.1,490
12,2023-07-18,138392,1564622,11.6,11.6,11.2,11.3,-0.3,440
13,2023-07-19,112820,1254086,11.3,11.3,11.05,11.1,-0.2,316
14,2023-07-20,114605,1257039,10.95,11.0,10.85,11.0,-0.1,334
15,2023-07-21,126496,1459031,11.3,11.75,11.3,11.75,0.75,322
16,2023-07-24,288769,3580442,12.0,12.5,11.8,12.45,0.7,405
17,2023-07-25,116841,1379148,11.9,12.4,11.6,12.1,-0.35,407
18,2023-07-26,53169,630597,12.05,12.05,11.7,11.7,-0.4,353
19,2023-07-27,72552,851564,12.0,12.0,11.6,11.6,-0.1,197
20,2023-07-28,78723,910980,11.5,11.6,11.5,11.55,-0.05,121
21,2023-07-31,104860,1174632,11.45,11.45,11.0,11.1,-0.45,274
22,2023-08-01,59907,666103,11.15,11.15,11.05,11.05,-0.05,183
23,2023-08-02,73618,818136,11.15,11.15,11.05,11.1,0.05,157
24,2023-08-04,71542,787985,11.05,11.05,11.0,11.0,-0.1,199
25,2023-08-07,42615,466457,11.0,11.0,10.8,10.95,-0.05,188
26,2023-08-08,43593,474181,10.95,10.95,10.85,10.85,-0.1,185
27,2023-08-09,49882,540984,10.9,10.9,10.8,10.8,-0.05,125
28,2023-08-10,72408,773586,10.8,10.8,10.6,10.6,-0.2,293
29,2023-08-11,45386,486734,10.6,10.75,10.6,10.7,0.1,115
30,2023-08-14,73588,743900,10.4,10.4,10.0,10.0,-0.7,294
31,2023-08-15,24874,255035,10.0,10.3,10.0,10.2,0.2,106
32,2023-08-16,41449,425251,10.2,10.4,10.15,10.4,0.2,129
33,2023-08-17,60812,626640,10.4,10.4,10.2,10.2,-0.2,167
34,2023-08-18,50261,512860,10.25,10.25,10.15,10.15,-0.05,211
35,2023-08-21,228964,2272333,10.15,10.15,9.9,9.95,-0.2,716
36,2023-08-22,70625,703294,9.95,10.0,9.9,9.9,-0.05,300
37,2023-08-23,150931,1494160,9.9,9.9,9.88,9.89,-0.01,581
38,2023-08-24,27142,269380,9.88,10.0,9.88,10.0,0.11,154
39,2023-08-25,22933,228858,10.0,10.0,9.93,9.93,-0.07,111
40,2023-08-28,20436,203049,9.93,9.93,9.9,9.92,-0.01,158
41,2023-08-29,35080,347355,9.92,9.92,9.88,9.88,-0.04,93
42,2023-08-30,72397,715093,9.9,9.9,9.82,9.88,0.0,226
43,2023-08-31,23729,236067,9.92,9.93,9.9,9.93,0.05,160
44,2023-09-01,29984,299792,9.93,10.0,9.93,9.98,0.05,87
45,2023-09-04,44590,447162,10.05,10.05,9.99,9.99,0.01,206
46,2023-09-05,66498,669186,10.1,10.1,10.0,10.05,0.06,174
47,2023-09-06,36388,365601,10.05,10.05,10.0,10.0,-0.05,187
48,2023-09-07,25089,251909,10.0,10.1,10.0,10.05,0.05,135
49,2023-09-08,23035,228886,9.9,10.0,9.9,10.0,-0.05,169
50,2023-09-11,80814,799054,10.0,10.0,9.85,9.91,-0.09,272
51,2023-09-12,18986,189019,9.94,9.94,9.94,9.94,0.03,87
52,2023-09-13,79826,789437,9.94,9.94,9.85,9.85,-0.09,402
53,2023-09-14,153993,1431620,9.5,9.5,9.21,9.24,-0.61,694
54,2023-09-15,497631,4191992,9.24,9.24,8.32,8.32,-0.92,1018
55,2023-09-18,190238,1567440,8.32,8.32,8.19,8.32,0.0,573
56,2023-09-19,90145,767192,8.31,8.58,8.31,8.58,0.26,316
57,2023-09-20,69430,596865,8.56,8.66,8.56,8.64,0.06,276
58,2023-09-21,59353,509710,8.69,8.69,8.5,8.58,-0.06,247
59,2023-09-22,20717,177706,8.58,8.58,8.55,8.55,-0.03,132
60,2023-09-25,46416,386591,8.23,8.28,8.23,8.28,-0.27,208
61,2023-09-26,47777,394353,8.28,8.28,8.21,8.23,-0.05,182
62,2023-09-27,41222,339047,8.23,8.23,8.2,8.2,-0.03,243
63,2023-09-28,117759,943840,8.1,8.1,7.95,7.96,-0.24,333
64,2023-10-02,45868,364224,7.96,7.96,7.9,7.96,0.0,195
65,2023-10-03,56780,451076,8.0,8.0,7.9,7.9,-0.06,204
66,2023-10-04,44260,351257,7.91,7.94,7.91,7.91,0.01,175
67,2023-10-05,29964,237209,7.91,7.91,7.9,7.91,0.0,171
68,2023-10-06,30889,244954,8.03,8.03,7.88,7.88,-0.03,117
69,2023-10-11,31559,249392,7.9,7.9,7.85,7.85,-0.03,134
70,2023-10-12,34222,268243,7.82,7.85,7.82,7.85,0.0,255
71,2023-10-13,51991,407468,7.85,7.85,7.83,7.85,0.0,382
72,2023-10-16,32963,260571,8.19,8.19,7.85,7.87,0.02,226
73,2023-10-17,17700,139667,7.9,7.9,7.87,7.87,0.0,131
74,2023-10-18,47180,362150,7.64,7.66,7.64,7.66,-0.21,208
75,2023-10-19,33273,254802,7.66,7.66,7.64,7.65,-0.01,152
