,Date,Capacity,Turnover,Open,High,Low,Close,Change,Transaction
0,2023-03-01,140520,2390153,17.1,17.1,16.85,17.0,-0.1,78
1,2023-03-02,263632,4459432,17.0,17.0,16.8,16.95,-0.05,130
2,2023-03-03,51466,870450,16.85,16.95,16.85,16.95,0.0,52
3,2023-03-06,112011,1910848,17.05,17.1,17.0,17.1,0.15,105
4,2023-03-07,164690,2806754,17.1,17.1,17.0,17.05,-0.05,110
5,2023-03-08,170289,2893076,17.05,17.05,16.95,17.0,-0.05,82
6,2023-03-09,139299,2364498,17.05,17.05,16.9,16.95,-0.05,81
7,2023-03-10,239131,4044594,16.95,17.0,16.8,16.9,-0.05,155
8,2023-03-13,172821,2901187,16.9,16.9,16.65,16.8,-0.1,105
9,2023-03-14,150669,2529643,16.85,16.85,16.7,16.75,-0.05,83
10,2023-03-15,221369,3730920,16.85,16.95,16.7,16.8,0.05,130
11,2023-03-16,205226,3458860,16.8,17.0,16.7,16.95,0.15,126
12,2023-03-17,111264,1888387,16.85,17.05,16.85,17.05,0.1,60
13,2023-03-20,208945,3547270,17.1,17.1,16.9,17.0,-0.05,107
14,2023-03-21,389325,6625724,17.0,17.15,16.95,17.1,0.1,127
15,2023-03-22,220256,3743462,17.0,17.1,16.9,17.0,-0.1,100
16,2023-03-23,161496,2747845,17.0,17.1,16.95,17.0,0.0,67
17,2023-03-24,76230,1298433,17.05,17.1,16.95,17.1,0.1,47
18,2023-03-27,67843,1151984,17.0,17.05,16.9,17.0,-0.1,55
19,2023-03-28,207024,3527963,17.15,17.15,16.95,17.05,0.05,96
20,2023-03-29,71783,1222974,17.1,17.1,17.0,17.05,0.0,29
21,2023-03-30,64082,1092652,17.1,17.1,17.05,17.05,0.0,28
22,2023-03-31,224518,3826959,17.1,17.1,17.0,17.05,0.0,111
23,2023-04-06,431385,7444273,17.05,17.4,17.05,17.2,0.15,256
24,2023-04-07,65440,1122844,17.2,17.2,17.1,17.15,-0.05,45
25,2023-04-10,130205,2244656,17.15,17.3,17.15,17.15,0.0,52
26,2023-04-11,2689207,47360266,17.15,18.1,17.1,17.15,0.0,772
27,2023-04-12,386686,6759918,17.35,17.55,17.35,17.55,0.4,234
28,2023-04-13,296913,5220686,17.55,17.65,17.5,17.6,0.05,194
29,2023-04-14,271873,4776803,17.6,17.65,17.5,17.6,0.0,117
30,2023-04-17,534860,9400968,17.55,17.75,17.5,17.55,-0.05,158
31,2023-04-18,351821,6134764,17.55,17.55,17.35,17.5,-0.05,124
32,2023-04-19,341530,5993433,17.6,17.9,17.4,17.5,0.0,189
33,2023-04-20,63829,1114313,17.4,17.55,17.4,17.45,-0.05,54
34,2023-04-21,636294,11210872,17.55,17.8,17.4,17.5,0.05,219
