,Date,Capacity,Turnover,Open,High,Low,Close,Change,Transaction
0,2023-03-01,784095,37065615,47.5,47.75,47.0,47.15,-0.35,745
1,2023-03-02,1341947,62901609,47.6,47.6,46.55,46.7,-0.45,1254
2,2023-03-03,1266195,59492858,46.8,47.45,46.65,47.0,0.3,798
3,2023-03-06,2241998,107863016,47.75,48.6,47.4,48.4,1.4,1513
4,2023-03-07,1607245,77951807,48.6,48.8,48.1,48.5,0.1,1192
5,2023-03-08,1677662,81646870,48.3,48.9,48.2,48.7,0.2,1249
6,2023-03-09,2427721,116374579,49.1,49.1,47.4,47.5,-1.2,1724
7,2023-03-10,1992799,92639906,47.35,47.5,46.0,46.3,-1.2,1378
8,2023-03-13,1448329,65964804,46.0,46.3,45.1,45.8,-0.5,999
9,2023-03-14,3384430,160299256,46.0,48.0,45.95,47.45,1.65,2432
10,2023-03-15,4379107,211831511,47.85,49.0,47.5,48.15,0.7,2829
11,2023-03-16,3697137,177079814,48.65,49.3,46.55,46.95,-1.2,2895
12,2023-03-17,7454483,362212000,47.5,49.2,47.25,49.0,2.05,4420
13,2023-03-20,9197141,459754587,49.8,50.7,49.2,50.1,1.1,6112
14,2023-03-21,4228311,210161951,50.6,50.6,49.05,49.35,-0.75,3041
15,2023-03-22,2076530,101778762,49.6,49.65,48.7,48.85,-0.5,1666
16,2023-03-23,1715765,84197555,48.95,49.65,48.6,48.7,-0.15,1254
17,2023-03-24,1561386,76036443,49.3,49.3,48.3,48.75,0.05,1042
18,2023-03-27,3360405,166352955,49.45,50.2,48.55,48.55,-0.2,2031
19,2023-03-28,1593196,76395676,48.75,48.8,47.55,47.6,-0.95,1328
20,2023-03-29,749495,35773698,48.35,48.35,47.3,47.9,0.3,699
21,2023-03-30,2710600,133011010,48.75,49.55,48.65,48.95,1.05,1683
22,2023-03-31,1002517,48788266,49.0,49.35,48.4,48.8,-0.15,904
23,2023-04-06,4849868,243464414,48.95,51.3,48.55,50.8,2.0,2882
24,2023-04-07,16326845,866953867,51.3,54.4,50.3,53.4,2.6,9841
25,2023-04-10,7236426,377699957,53.4,53.6,51.6,51.8,-1.6,4500
26,2023-04-11,3134935,163346533,51.8,52.5,51.3,52.4,0.6,2084
27,2023-04-12,13837631,750157071,53.4,55.7,52.7,54.7,2.3,8464
28,2023-04-13,10994296,606965345,54.9,56.0,54.2,55.4,0.7,6856
29,2023-04-14,5378537,297054138,56.4,56.5,54.5,54.9,-0.5,4044
30,2023-04-17,3657198,200261294,54.9,55.6,54.1,54.6,-0.3,2549
31,2023-04-18,15779781,884137543,55.3,57.4,54.3,54.8,0.2,9606
32,2023-04-19,32016340,1841208002,55.4,59.7,55.2,57.0,2.2,17900
33,2023-04-20,11271659,627340849,56.1,57.5,54.6,54.9,-2.1,6815
34,2023-04-21,7373548,396484147,55.2,55.9,52.3,52.4,-2.5,5002
35,2023-04-24,3135975,166585219,53.5,53.5,52.4,53.5,1.1,2199
36,2023-04-25,4689785,251050068,54.0,54.2,52.4,53.8,0.3,3320
37,2023-04-26,6409247,347256998,53.9,54.9,52.6,54.9,1.1,4218
38,2023-04-27,3633898,195480054,54.0,54.8,53.3,53.4,-1.5,2419
39,2023-04-28,1876058,101343543,53.8,54.3,53.5,54.3,0.9,1272
40,2023-05-02,8675963,487041162,55.7,57.2,55.2,56.7,2.4,5395
41,2023-05-03,4362025,244199590,56.2,56.9,54.9,56.7,0.0,3175
42,2023-05-04,6149628,350715343,57.7,58.0,56.2,57.2,0.5,4117
43,2023-05-05,4886603,273490096,56.8,57.5,55.1,55.2,-2.0,3603
44,2023-05-08,1826964,100817998,55.5,55.7,54.7,55.3,0.1,1370
45,2023-05-09,6733676,350330338,54.3,54.3,50.8,51.4,-3.9,4476
46,2023-05-10,2097019,107226673,51.5,51.9,50.5,51.4,0.0,1458
47,2023-05-11,4634854,229868086,51.8,51.9,48.65,48.7,-2.7,3450
48,2023-05-12,2938277,143256751,48.7,49.6,48.05,49.5,0.8,2154
49,2023-05-15,2278164,114065493,49.8,50.4,49.55,50.1,0.6,1657
50,2023-05-16,1345211,68329134,50.8,51.2,50.2,51.2,1.1,986
51,2023-05-17,1442460,74027161,51.2,51.6,50.9,51.4,0.2,1223
52,2023-05-18,1941203,99107339,51.8,51.8,50.5,51.3,-0.1,1570
53,2023-05-19,1474205,75041627,51.4,51.6,50.2,50.3,-1.0,1066
54,2023-05-22,1172826,60186979,50.7,51.7,50.6,51.4,1.1,845
55,2023-05-23,775313,39890274,51.7,51.7,50.9,51.7,0.3,664
56,2023-05-24,786109,40430336,51.5,51.7,51.1,51.5,-0.2,611
57,2023-05-25,877357,44587880,51.3,51.5,50.6,50.7,-0.8,814
58,2023-05-26,1364789,68457049,51.1,51.1,49.8,49.8,-0.9,1059
59,2023-05-29,1881991,96599696,50.2,51.9,50.0,51.4,1.6,1157
60,2023-05-30,1462358,75222299,52.2,52.4,50.9,50.9,-0.5,1201
61,2023-05-31,1001962,51759591,51.0,51.9,51.0,51.9,1.0,779
62,2023-06-01,873989,44914651,51.5,52.1,51.0,51.3,-0.6,818
63,2023-06-02,1619537,83981784,51.8,52.3,51.4,51.6,0.3,1117
64,2023-06-05,1815772,94834522,52.5,52.6,51.4,52.2,0.6,1393
65,2023-06-06,950555,49029134,52.4,52.4,51.2,51.5,-0.7,859
66,2023-06-07,1110537,57569272,52.0,52.4,51.4,51.6,0.1,793
67,2023-06-08,1393476,72251761,51.8,52.3,51.6,51.6,0.0,987
68,2023-06-09,2706331,135865282,51.2,51.2,49.55,50.2,-1.4,1879
69,2023-06-12,2019330,99309957,50.6,50.7,48.35,49.05,-1.15,1685
70,2023-06-13,1294726,63391782,49.2,49.45,48.55,48.85,-0.2,1006
71,2023-06-14,683442,33667648,49.05,49.7,49.0,49.15,0.3,581
72,2023-06-15,944240,46320904,49.2,49.45,48.9,48.95,-0.2,876
73,2023-06-16,1655368,82797755,49.5,50.6,49.2,49.7,0.75,1293
74,2023-06-19,991767,48973789,49.85,49.85,49.1,49.1,-0.6,984
75,2023-06-20,3567048,181207500,49.45,51.7,49.1,50.8,1.7,2410
76,2023-06-21,1136480,57658483,50.9,51.2,50.4,50.6,-0.2,859
77,2023-06-26,789940,40180891,50.7,51.2,50.6,50.7,0.1,559
78,2023-06-27,979821,49215677,50.2,51.0,49.8,49.8,-0.9,708
79,2023-06-28,882502,44684428,50.3,51.2,50.0,50.0,0.2,665
80,2023-06-29,684194,34799491,50.2,51.1,50.2,51.0,1.0,581
81,2023-06-30,645318,32836370,51.2,51.2,50.6,50.8,-0.2,686
82,2023-07-03,777217,39471907,51.1,51.2,50.3,51.0,0.2,724
83,2023-07-04,924787,46684019,51.0,51.1,50.1,50.1,-0.9,761
84,2023-07-05,1273797,64568825,50.1,51.3,50.0,50.2,0.1,953
85,2023-07-06,960881,48405439,50.2,51.1,49.9,49.9,-0.3,894
86,2023-07-07,988328,48640522,49.85,49.9,48.8,49.35,-0.55,768
87,2023-07-10,723608,36034444,49.1,50.4,49.05,49.85,0.5,498
88,2023-07-11,989507,50134791,50.8,51.1,50.3,50.4,0.55,678
89,2023-07-12,1295757,64352476,50.4,51.0,49.3,49.35,-1.05,1093
90,2023-07-13,1279965,62505530,49.7,49.7,48.6,48.6,-0.75,999
91,2023-07-14,890963,43483560,49.0,49.05,48.5,48.6,0.0,649
92,2023-07-17,1074709,53293726,48.65,50.2,48.6,49.65,1.05,702
93,2023-07-18,1664317,81143234,50.1,50.2,48.4,48.4,-1.25,1330
94,2023-07-19,1305092,62586112,48.85,48.85,47.4,47.5,-0.9,1058
95,2023-07-20,1452256,69095683,47.85,48.1,47.1,47.75,0.25,982
96,2023-07-21,1034954,47237696,46.4,46.65,45.1,45.6,0.0,838
97,2023-07-24,858157,38572900,45.9,45.9,44.7,44.75,-0.85,688
98,2023-07-25,565136,25509658,45.55,45.55,44.65,45.35,0.6,438
99,2023-07-26,496833,22373378,45.55,45.55,44.85,44.9,-0.45,470
100,2023-07-27,682984,31355671,45.4,46.25,45.0,46.1,1.2,560
101,2023-07-28,603615,27851046,46.0,46.75,45.55,46.0,-0.1,725
102,2023-07-31,484032,22216001,46.1,46.45,45.6,45.6,-0.4,550
103,2023-08-01,341244,15521419,46.05,46.2,45.1,45.3,-0.3,364
104,2023-08-02,884428,39636599,45.0,45.5,44.5,44.6,-0.7,749
105,2023-08-04,458293,20224273,44.35,44.35,43.85,44.15,-0.45,408
106,2023-08-07,2059609,87184543,44.15,44.15,41.55,43.05,-1.1,1541
107,2023-08-08,653393,28041261,43.4,43.6,42.4,42.45,-0.6,575
108,2023-08-09,471325,19993594,42.35,42.8,42.15,42.4,-0.05,385
109,2023-08-10,683757,28628329,42.4,42.5,41.6,41.6,-0.8,651
110,2023-08-11,341639,14302540,41.8,42.15,41.65,41.75,0.15,313
111,2023-08-14,618266,25323048,41.8,41.8,40.55,40.65,-1.1,517
112,2023-08-15,427704,17743818,40.8,41.9,40.8,41.4,0.75,341
113,2023-08-16,399082,16339913,40.8,41.7,40.6,40.85,-0.55,357
114,2023-08-17,438099,18164873,40.7,42.1,40.5,41.95,1.1,385
115,2023-08-18,542601,22845740,41.95,42.55,41.6,41.7,-0.25,467
116,2023-08-21,319989,13544947,42.3,42.9,41.9,42.1,0.4,284
117,2023-08-22,317414,13255818,42.45,42.45,41.5,41.5,-0.6,249
118,2023-08-23,287585,11981171,41.5,42.05,41.3,41.8,0.3,222
119,2023-08-24,328110,13711377,41.8,42.35,41.45,41.6,-0.2,291
120,2023-08-25,265069,11059022,41.6,42.0,41.1,41.85,0.25,281
121,2023-08-28,654845,27843319,42.3,42.85,42.0,42.4,0.55,817
122,2023-08-29,906082,39147785,43.3,44.7,42.8,42.95,0.55,841
