,Date,Capacity,Turnover,Open,High,Low,Close,Change,Transaction
0,2023-03-01,317700,15352605,48.7,48.7,48.0,48.5,-0.15,335
1,2023-03-02,946563,45239934,48.7,48.7,47.4,47.6,-0.9,715
2,2023-03-03,693303,33535947,47.7,48.85,47.7,48.6,1.0,515
3,2023-03-06,767191,37637212,49.0,49.35,48.8,49.05,0.45,652
4,2023-03-07,715616,35120828,49.35,49.4,48.8,49.25,0.2,637
5,2023-03-08,2543426,127179982,49.2,50.8,49.0,50.8,1.55,1843
6,2023-03-09,1687218,84949269,51.1,51.1,49.85,49.95,-0.85,1402
7,2023-03-10,1364560,65952111,49.6,49.6,47.5,47.7,-2.25,1242
8,2023-03-13,929404,43077838,47.3,47.3,45.7,46.8,-0.9,743
9,2023-03-14,425469,19742498,46.0,46.9,45.95,46.55,-0.25,385
10,2023-03-15,373594,17485499,46.95,47.3,46.35,46.35,-0.2,289
11,2023-03-16,943242,42649331,46.35,46.35,44.35,44.75,-1.6,860
12,2023-03-17,372167,16987225,45.5,46.0,45.2,45.8,1.05,362
13,2023-03-20,210848,9660333,45.8,46.1,45.45,45.8,0.0,234
14,2023-03-21,268768,12409468,46.4,46.4,46.0,46.3,0.5,297
15,2023-03-22,249512,11651339,46.9,46.9,46.35,46.9,0.6,386
16,2023-03-23,456269,21463199,46.5,47.45,46.5,46.9,0.0,351
17,2023-03-24,600265,28427315,47.4,47.75,46.9,47.6,0.7,488
18,2023-03-27,348299,16608680,48.5,48.5,47.3,47.75,0.15,428
19,2023-03-28,402810,18957286,47.95,47.95,46.7,46.8,-0.95,330
20,2023-03-29,237829,11244884,46.9,47.75,46.9,47.0,0.2,194
21,2023-03-30,184021,8700482,47.25,47.5,47.0,47.45,0.45,163
22,2023-03-31,479002,22972137,47.75,48.2,47.55,48.05,0.6,414
23,2023-04-06,552001,26767815,48.1,48.85,47.9,48.4,0.35,590
24,2023-04-07,385155,18559882,48.7,48.8,47.6,47.95,-0.45,395
25,2023-04-10,300250,14371633,47.95,48.35,47.5,47.85,-0.1,356
26,2023-04-11,208569,9994744,48.0,48.2,47.65,47.85,0.0,311
27,2023-04-12,442910,21309413,47.85,48.5,47.7,48.45,0.6,432
28,2023-04-13,382986,18341903,48.0,48.5,47.65,47.7,-0.75,400
29,2023-04-14,572834,27385294,48.0,48.25,47.35,48.2,0.5,468
30,2023-04-17,7569693,395480532,50.0,53.0,49.95,53.0,4.8,4274
31,2023-04-18,12984898,732334920,55.3,58.0,55.3,55.6,2.6,7997
32,2023-04-19,3710667,200315031,55.0,55.4,53.3,53.9,-1.7,2667
33,2023-04-20,2295806,120790726,53.7,54.3,51.6,52.1,-1.8,1694
34,2023-04-21,2003525,101017977,51.5,51.7,49.6,49.7,-2.4,1403
35,2023-04-24,579000,29055235,49.7,50.7,49.5,50.1,0.4,523
36,2023-04-25,1033834,50220461,50.7,50.7,47.95,47.95,-2.15,862
37,2023-04-26,1261857,59708735,47.6,48.05,46.95,47.15,-0.8,842
38,2023-04-27,540237,25427195,47.5,47.5,46.55,47.1,-0.05,447
39,2023-04-28,493181,23613458,47.55,48.2,47.5,47.9,0.8,441
40,2023-05-02,543847,26343646,47.9,48.9,47.6,48.35,0.45,470
41,2023-05-03,499114,23870255,48.0,48.5,47.45,47.65,-0.7,397
42,2023-05-04,912191,44183492,47.55,49.8,47.35,49.7,2.05,630
43,2023-05-05,3743282,190698522,49.75,51.8,49.7,50.5,0.8,2252
44,2023-05-08,755543,37943033,50.5,51.0,49.7,49.8,-0.7,611
45,2023-05-09,829273,40591228,49.6,50.2,48.0,48.2,-1.6,566
46,2023-05-10,330442,15843585,47.8,48.3,47.6,47.85,-0.35,259
47,2023-05-11,616312,28994609,48.1,48.2,46.65,46.7,-1.15,475
48,2023-05-12,166735,7851781,46.65,47.35,46.65,47.15,0.45,151
49,2023-05-15,296709,13884395,47.2,47.45,46.5,47.15,0.0,252
50,2023-05-16,188193,8933690,47.75,47.85,47.2,47.3,0.15,171
51,2023-05-17,464058,22289080,47.3,48.45,47.3,48.1,0.8,448
52,2023-05-18,397315,19284454,48.25,48.85,48.0,48.55,0.45,380
53,2023-05-19,446192,21811573,48.9,49.5,48.5,48.55,0.0,359
54,2023-05-22,363640,17882982,49.3,49.45,48.75,49.25,0.7,288
55,2023-05-23,341779,16952874,49.25,49.95,49.0,49.4,0.15,306
56,2023-05-24,236326,11585762,49.7,49.7,48.65,49.3,-0.1,224
57,2023-05-25,226151,11072302,49.6,49.6,48.7,49.0,-0.3,221
58,2023-05-26,414469,20022329,49.5,49.5,47.95,48.0,-1.0,426
59,2023-05-29,328780,16035824,48.85,49.4,48.2,48.9,0.9,276
60,2023-05-30,1945025,97905006,48.95,51.2,48.75,51.0,2.1,1336
61,2023-05-31,1035815,51999794,50.9,51.0,49.5,50.0,-1.0,740
62,2023-06-01,5048942,269079095,49.55,55.0,49.4,55.0,5.0,2717
63,2023-06-02,13663440,760228489,56.9,57.4,53.1,53.1,-1.9,8592
64,2023-06-05,1587358,84102711,53.1,53.6,52.4,52.8,-0.3,1187
65,2023-06-06,1282663,66593145,52.8,52.9,51.4,51.7,-1.1,1058
66,2023-06-07,1575799,83699156,52.1,53.9,51.7,53.0,1.3,1132
67,2023-06-08,1217263,63777390,52.5,53.2,52.0,52.2,-0.8,840
68,2023-06-09,1459972,77650215,52.6,53.8,52.5,53.2,1.0,966
69,2023-06-12,683679,35853779,53.6,53.6,52.1,52.2,-1.0,489
70,2023-06-13,681875,35453344,52.8,52.8,51.7,51.8,-0.4,560
71,2023-06-14,619040,31909161,51.9,52.3,51.1,51.2,-0.6,485
72,2023-06-15,1297264,68565728,51.2,53.8,51.1,52.7,1.5,971
73,2023-06-16,987933,52525234,52.6,53.7,52.4,53.4,0.7,725
74,2023-06-19,709402,37508111,53.5,53.6,52.2,52.7,-0.7,469
75,2023-06-20,728918,38096975,53.0,53.0,51.7,52.7,0.0,454
76,2023-06-21,557897,29490065,53.0,53.4,52.3,52.8,0.1,480
77,2023-06-26,290871,15204920,52.8,52.8,52.1,52.1,-0.7,287
78,2023-06-27,963455,49085487,51.7,52.2,50.4,50.4,-1.7,663
79,2023-06-28,1000271,52402878,51.0,53.3,51.0,51.5,1.1,774
80,2023-06-29,849386,44321345,52.2,52.9,51.5,51.6,0.1,458
81,2023-06-30,404951,20940009,51.7,52.0,51.1,51.8,0.2,287
82,2023-07-03,512502,26730997,52.0,52.4,51.6,52.2,0.4,369
83,2023-07-04,1863664,99300776,52.8,54.3,52.1,53.4,1.2,1145
84,2023-07-05,3546961,193735377,54.6,55.6,53.7,54.4,1.0,2129
85,2023-07-06,5647762,308565114,53.8,56.2,53.0,53.5,0.0,3717
86,2023-07-07,12751142,724109013,55.0,58.3,54.3,57.2,3.7,7960
87,2023-07-10,13153475,770667447,58.3,60.5,56.4,60.5,3.3,8441
88,2023-07-11,10262226,620991739,61.1,62.0,58.5,60.5,0.0,6878
89,2023-07-12,6145414,379279095,61.5,63.0,60.2,61.0,0.5,4641
90,2023-07-13,7772796,477210509,61.0,63.0,60.0,60.7,-0.3,5291
91,2023-07-14,5099308,339630187,66.1,66.7,65.8,66.7,6.0,2000
92,2023-07-17,3083236,226001151,73.3,73.3,73.3,73.3,6.6,1548
93,2023-07-18,25092989,1863351734,78.9,80.4,66.9,69.3,-4.0,16460
94,2023-07-19,12761813,888948283,72.0,73.2,66.3,68.1,-1.2,8719
95,2023-07-20,5647749,380013600,66.6,69.2,66.4,66.8,-1.3,4166
96,2023-07-21,12222685,851772466,66.0,73.4,64.7,73.4,6.6,8668
97,2023-07-24,15357851,1164266604,78.8,78.8,74.0,74.7,1.3,11129
98,2023-07-25,7847329,577816267,75.1,75.9,71.8,72.7,-2.0,5640
99,2023-07-26,4119169,291754536,73.0,73.0,69.5,70.2,-2.5,3905
100,2023-07-27,5475845,395023708,70.7,73.9,70.5,70.6,0.4,4055
101,2023-07-28,3166493,220504236,70.8,70.9,68.4,70.2,-0.4,2865
102,2023-07-31,5973172,420297459,70.7,72.8,67.6,68.1,-2.1,4524
103,2023-08-01,2040619,139120049,68.7,69.8,67.3,67.7,-0.4,1796
104,2023-08-02,3367466,220310717,67.7,68.4,63.6,64.7,-3.0,2559
105,2023-08-04,1786738,115463688,64.7,65.9,63.1,64.6,-0.1,1372
106,2023-08-07,4354880,296149643,65.8,70.0,64.2,69.2,4.6,3180
107,2023-08-08,2586260,174145333,69.0,69.0,66.3,66.8,-2.4,2171
108,2023-08-09,1431912,93453638,65.7,66.6,64.7,65.2,-1.6,1195
109,2023-08-10,2064702,130604048,64.3,64.8,62.5,63.3,-1.9,1542
110,2023-08-11,1056324,66838459,63.6,64.4,62.6,62.9,-0.4,728
111,2023-08-14,1073518,66207844,62.4,62.7,60.7,61.7,-1.2,833
112,2023-08-15,984108,61983974,62.6,64.1,62.2,62.5,0.8,875
113,2023-08-16,904661,56563880,61.6,63.8,61.0,63.4,0.9,795
114,2023-08-17,1034313,66064723,62.3,64.8,62.0,64.4,1.0,928
115,2023-08-18,1814415,112824864,63.9,64.7,58.4,62.7,-1.7,1528
116,2023-08-21,1218331,77511864,63.2,64.7,62.3,63.8,1.1,876
117,2023-08-22,3197307,208803147,65.2,66.6,63.5,65.6,1.8,2377
118,2023-08-23,1765250,116335510,65.0,67.1,64.6,66.2,0.6,1484
119,2023-08-24,9712903,674423725,68.5,71.9,66.1,66.7,0.5,6553
120,2023-08-25,4564861,308451708,65.1,69.7,64.8,66.9,0.2,3135
121,2023-08-28,3931469,264814717,67.1,68.4,65.6,67.0,0.1,3141
122,2023-08-29,1435306,95930400,67.3,67.5,66.3,66.6,-0.4,1161
123,2023-08-30,2941784,200131422,67.6,68.8,67.2,67.6,1.0,2261
124,2023-08-31,1246718,84738977,67.8,68.5,67.5,68.0,0.4,1039
125,2023-09-01,1445711,98185267,68.5,69.0,67.0,67.0,-1.0,1327
126,2023-09-04,1153289,76419320,67.1,67.2,65.7,66.1,-0.9,1073
127,2023-09-05,1245289,83042730,66.4,67.3,66.2,66.7,0.6,930
128,2023-09-06,1619380,108643980,67.2,67.9,65.9,66.7,0.0,1162
129,2023-09-07,1326192,87513639,66.4,67.2,65.4,65.7,-1.0,1129
130,2023-09-08,1652837,105591648,65.2,65.2,63.0,63.6,-2.1,1318
131,2023-09-11,1124998,70470995,63.6,63.8,61.9,62.1,-1.5,889
132,2023-09-12,998458,61356907,62.3,62.4,60.7,61.0,-1.1,827
133,2023-09-13,1186322,71934090,60.8,61.8,59.5,60.5,-0.5,888
134,2023-09-14,762309,47008998,60.7,62.2,60.6,62.0,1.5,608
135,2023-09-15,966255,60442227,62.5,63.1,61.7,63.0,1.0,673
136,2023-09-18,746663,46103082,62.8,62.9,61.0,61.0,-2.0,627
137,2023-09-19,730457,44206623,61.3,61.8,59.9,60.0,-1.0,555
138,2023-09-20,503068,30349264,59.5,61.3,59.0,60.1,0.1,407
139,2023-09-21,629055,37574119,60.0,60.8,58.5,59.9,-0.2,564
140,2023-09-22,548491,32802200,60.3,60.4,58.8,60.1,0.2,434
141,2023-09-25,520630,31888574,60.1,61.9,60.1,61.5,1.4,440
142,2023-09-26,411187,25062621,61.2,61.8,60.3,60.4,-1.1,404
143,2023-09-27,489577,29332955,60.2,60.6,59.2,60.6,0.2,380
144,2023-09-28,479297,29188742,60.9,61.7,60.4,60.6,0.0,351
145,2023-10-02,1753201,109901331,61.2,64.0,61.1,63.1,2.5,1111
146,2023-10-03,935388,58967189,63.0,63.6,62.5,62.6,-0.5,719
147,2023-10-04,537280,33503259,61.9,62.9,61.7,62.9,0.3,554
148,2023-10-05,591453,37270439,63.5,63.9,62.4,62.4,-0.5,681
149,2023-10-06,554384,34597573,62.7,63.3,61.9,62.0,-0.4,546
150,2023-10-11,887292,54429206,62.7,63.0,60.5,61.1,-0.9,717
151,2023-10-12,460802,28594400,61.6,62.9,61.5,62.3,1.2,375
152,2023-10-13,645788,39814760,62.4,62.9,60.8,60.8,-1.5,540
153,2023-10-16,753479,45342162,60.4,61.1,59.3,60.4,-0.4,615
154,2023-10-17,3450214,227359479,61.3,66.4,61.3,66.4,6.0,1774
155,2023-10-18,8397169,533503187,67.0,67.3,60.9,63.0,-3.4,4571
156,2023-10-19,2878739,177588191,61.6,63.0,60.7,60.9,-2.1,1682
157,2023-10-20,1464144,87231431,60.4,60.5,58.7,60.0,-0.9,1200
158,2023-10-23,4510590,286032032,60.3,65.2,60.3,62.8,2.8,3285
159,2023-10-24,2124504,133801250,62.9,64.6,62.1,62.5,-0.3,1570
160,2023-10-25,982641,61526840,63.0,63.5,62.0,62.1,-0.4,769
161,2023-10-26,727277,44404928,60.8,61.7,60.6,60.9,-1.2,602
162,2023-10-27,1273177,76517454,61.4,61.4,59.2,59.8,-1.1,973
163,2023-10-30,605036,36568195,60.0,61.1,59.7,60.3,0.5,456
164,2023-10-31,2473778,148644086,60.9,62.8,58.5,58.5,-1.8,2037
165,2023-11-01,1402176,80903815,58.7,59.1,56.9,57.2,-1.3,1078
166,2023-11-02,1544939,91563565,58.3,60.0,58.0,59.7,2.5,1205
167,2023-11-03,1067677,64462346,59.8,61.0,59.5,60.5,0.8,936
168,2023-11-06,1181045,72791695,60.8,62.4,60.8,61.6,1.1,916
169,2023-11-07,405174,24896644,61.5,62.1,61.1,61.2,-0.4,526
170,2023-11-08,558888,34568319,61.5,62.2,61.3,61.8,0.6,473
171,2023-11-09,1015465,62460207,61.2,62.2,60.7,61.9,0.1,732
172,2023-11-10,388070,23753149,61.5,61.8,61.0,61.1,-0.8,377
173,2023-11-13,416829,25605437,62.0,62.0,60.8,61.6,0.5,308
174,2023-11-14,856072,53189163,61.6,62.6,61.5,62.3,0.7,617
175,2023-11-15,4765420,306974831,62.9,66.5,62.0,64.3,2.0,3287
176,2023-11-16,2884567,188234546,64.6,66.2,64.5,65.0,0.7,1952
177,2023-11-17,1125223,73141163,65.0,65.7,64.6,65.1,0.1,893
178,2023-11-20,3547804,237971267,65.7,68.5,64.9,67.6,2.5,2166
179,2023-11-21,3317246,227846776,68.0,70.2,67.2,68.2,0.6,3117
180,2023-11-22,1672441,115301650,68.2,69.5,68.2,68.8,0.6,1493
181,2023-11-23,1771406,120896477,68.7,69.5,67.0,68.5,-0.3,1696
182,2023-11-24,1068916,73222412,69.3,69.3,68.0,68.1,-0.4,815
183,2023-11-27,1301563,89397466,68.5,69.4,68.0,68.2,0.1,1153
184,2023-11-28,1605452,110895057,69.0,69.9,67.7,69.7,1.5,1240
185,2023-11-29,4059747,289311852,70.1,72.3,69.9,71.1,1.4,3662
186,2023-11-30,1333202,94390694,71.3,71.5,70.2,70.2,-0.9,1884
187,2023-12-01,1634053,115487007,70.0,71.9,69.5,69.9,-0.3,1901
188,2023-12-04,1994023,137607688,69.9,70.1,67.9,69.3,-0.6,1700
189,2023-12-05,976486,66891883,68.6,69.1,67.9,68.3,-1.0,1085
190,2023-12-06,710025,48559134,68.9,69.3,67.8,68.0,-0.3,764
191,2023-12-07,833098,56737805,68.1,69.0,67.5,68.1,0.1,896
192,2023-12-08,3165813,222960367,69.0,71.4,68.5,70.5,2.4,2299
193,2023-12-11,2811121,200212823,71.2,72.5,69.9,71.6,1.1,2396
194,2023-12-12,1674221,119576018,71.7,72.6,70.4,70.7,-0.9,1343
195,2023-12-13,853005,60275522,71.0,71.4,70.2,70.4,-0.3,886
196,2023-12-14,1622395,116059859,71.2,72.1,70.7,71.2,0.8,1142
197,2023-12-15,1543796,108211270,71.6,71.8,69.1,69.8,-1.4,1242
198,2023-12-18,4142643,295579954,70.1,73.9,68.3,69.2,-0.6,3164
199,2023-12-19,1767243,120300766,69.3,69.7,67.1,68.7,-0.5,1749
200,2023-12-20,595954,40986747,69.2,69.4,68.2,68.6,-0.1,730
