,Date,Capacity,Turnover,Open,High,Low,Close,Change,Transaction
0,2023-03-01,361105,21759003,60.2,60.6,60.0,60.0,0.2,2508
1,2023-03-02,222067,13318672,60.0,60.3,59.5,60.0,0.0,1534
2,2023-03-03,158291,9452757,60.0,60.6,59.5,59.5,-0.5,1113
3,2023-03-06,151757,9064211,59.8,60.0,59.6,59.7,0.2,1059
4,2023-03-07,134356,8054168,59.7,60.3,59.7,59.9,0.2,1037
5,2023-03-08,129040,7736800,60.2,60.2,59.8,59.9,0.0,1009
6,2023-03-09,114533,6836720,60.0,60.0,59.5,59.6,-0.3,806
7,2023-03-10,201624,11895963,59.6,59.7,58.7,58.8,-0.8,952
8,2023-03-13,198233,11576885,59.3,59.3,58.0,58.6,-0.2,883
9,2023-03-14,112427,6555750,58.6,58.8,58.1,58.1,-0.5,574
10,2023-03-15,134738,7825716,58.2,58.2,57.9,58.1,0.0,532
11,2023-03-16,169025,9704835,58.1,58.1,57.0,57.1,-1.0,609
12,2023-03-17,112307,6506859,57.5,58.4,57.3,58.1,1.0,594
13,2023-03-20,149552,8776018,58.1,59.0,58.1,58.5,0.4,1296
14,2023-03-21,89596,5272392,58.8,58.9,58.8,58.8,0.3,657
15,2023-03-22,114081,6762405,59.0,59.4,59.0,59.3,0.5,912
16,2023-03-23,134882,8001479,59.5,59.5,59.2,59.3,0.0,617
17,2023-03-24,221296,13219660,59.4,60.1,59.3,59.7,0.4,897
18,2023-03-27,414355,24971544,60.1,60.5,60.0,60.5,0.8,1286
19,2023-03-28,360816,21928735,60.7,61.0,60.6,60.8,0.3,1786
20,2023-03-29,679254,41605392,60.9,61.5,60.9,61.5,0.7,2143
21,2023-03-30,557729,33379883,61.2,61.2,59.2,59.5,-2.0,863
22,2023-03-31,266082,15673694,59.6,59.6,58.7,58.8,-0.7,423
23,2023-04-06,204628,11906403,58.8,58.8,58.0,58.2,-0.6,368
24,2023-04-07,116425,6757017,58.3,58.3,57.9,58.0,-0.2,221
25,2023-04-10,80880,4730059,58.0,58.6,58.0,58.6,0.6,160
26,2023-04-11,83093,4848396,58.3,58.6,58.2,58.3,-0.3,155
27,2023-04-12,129642,7596547,58.4,58.9,58.3,58.8,0.5,202
28,2023-04-13,134075,7858344,58.7,58.8,58.4,58.5,-0.3,203
29,2023-04-14,130653,7636833,58.4,58.9,58.2,58.4,-0.1,141
30,2023-04-17,100974,5941359,58.7,58.9,58.6,58.8,0.4,123
31,2023-04-18,77079,4514237,59.1,59.1,58.3,58.3,-0.5,110
32,2023-04-19,74671,4349037,58.3,58.7,58.0,58.0,-0.3,108
33,2023-04-20,145615,8421120,58.2,58.2,57.6,57.7,-0.3,165
34,2023-04-21,112192,6461512,58.1,58.1,57.3,57.4,-0.3,146
